##4000550		
Whenever	whenever	rrqv
makes	make	vvz
so	so	rg
much	much	da1
of	of	io
MLA-English	mla-english	jj_nn1
sound	sound	nn1
like	like	ii
a	a	at1
bad	bad	jj
translation	translation	nn1
of	of	io
notoriously	notoriously	rr
undigestible	undigestible	jj
Hegelian	hegelian	jj_nn1@
and	and	cc
Heideggerian	heideggerian	jj
German	german	nn1_jj
,	,	y
mediated	mediate	vvd_vvn@
through	through	ii
the	the	at
artificial	artificial	jj
,	,	y
pretentious	pretentious	jj
French	french	nn1
of	of	io
Foucault	foucault	np1_nn1
and	and	cc
Derrida	derrida	np1
.	.	y
It	it	pph1
is	be	vbz
the	the	at
deliberate	deliberate	jj
goal	goal	nn1
of	of	io
undermining	undermine	vvg
the	the	at
primarily	primarily	rr
Western	western	jj
empirical	empirical	jj
language	language	nn1
and	and	cc
thought	think	vvd_vvn_nn1
as	as	rg@_csa_ii@
bourgeois	bourgeois	jj
"	"	y
false	false	jj
consciousness	consciousness	nn1
,	,	y
"	"	y
the	the	at
disenfranchisement	disenfranchisement	nn1
of	of	io
the	the	at
common	common	jj
sense	sense	nn1
of	of	io
free	free	jj
thinking	thinking	nn1
individuals	individual	nn2
,	,	y
all	all	db_rr@
to	to	ii
one	one	mc1
end	end	nn1
:	:	y
Namely	namely	rex
,	,	y
so	so	cs21
that	that	cs22
radical	radical	jj
intellectuals	intellectual	nn2
may	may	vm
seize	seize	vvi
control	control	nn1
of	of	io
public	public	jj_nn1
discourse	discourse	nn1
and	and	cc
become	become	vvi
Foucault	foucault	np1_nn1
's	's	ge
"	"	y
masters	master	nn2
of	of	io
discursivity	discursivity	nn1
,	,	y
"	"	y
who	who	pnqs
,	,	y
priest-like	priest-like	jj
,	,	y
define	define	vv0
and	and	cc
control	control	vv0_nn1
for	for	if
the	the	at
rest	rest	nn1
of	of	io
us	us	ppio2
all	all	db
truths	truth	nn2
beyond	beyond	ii
all	all	db
ordinary	ordinary	jj
facts	fact	nn2
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
come	come	vvi
to	to	to
pass	pass	vvi
.	.	y
<p>	<p>	y
What	what	ddq
damage	damage	vv0
such	such	da
radical	radical	nn1_jj
,	,	y
dogmatic	dogmatic	jj
opposition	opposition	nn1
to	to	ii
empirical	empirical	jj
truth	truth	nn1
can	can	vm
wreak	wreak	vvi
on	on	ii_rp@
an	a	at1
individual	individual	nn1_jj
is	be	vbz
tragically	tragically	rr
illustrated	illustrate	vvn
by	by	ii
Foucault	foucault	np1_nn1
's	's	ge
personal	personal	jj
fate	fate	nn1
.	.	y
He	he	pphs1
died	die	vvd
because	because	cs
he	he	pphs1
refused	refuse	vvd
to	to	to
acknowledge	acknowledge	vvi
the	the	at
empirical	empirical	jj
evidence	evidence	nn1
of	of	io
the	the	at
danger	danger	nn1
of	of	io
AIDS	aids	nn2
.	.	y
And	and	cc
when	when	rrq_cs
he	he	pphs1
did	do	vdd
recognize	recognize	vvi
it	it	pph1
,	,	y
and	and	cc
himself	himself	ppx1
contracted	contract	vvd_vvn
it	it	pph1
,	,	y
he	he	pphs1
refused	refuse	vvd
to	to	to
communicate	communicate	vvi
this	this	dd1
fact	fact	nn1
to	to	ii
his	his	appge
sexual	sexual	jj
partners	partner	nn2
,	,	y
with	with	iw
consequences	consequence	nn2
that	that	cst_dd1
"	"	y
can	can	vm
only	only	rr
be	be	vbi
surmised	surmise	vvn
"	"	y
(	(	y
Tallis	tallis	np1
,	,	y
3	3	mc
)	)	y
.	.	y
<p>	<p>	y
On	on	ii
an	a	at1
institutional	institutional	jj
level	level	nn1_jj
,	,	y
what	what	ddq
does	do	vdz
this	this	dd1
epistemological	epistemological	jj
development	development	nn1
portend	portend	vv0
regarding	regarding	ii_vvg
the	the	at
quality	quality	nn1
of	of	io
humanistic	humanistic	jj
studies	study	nn2
?	?	y
For	for	if
the	the	at
cause	cause	nn1
of	of	io
any	any	dd
kind	kind	nn1
of	of	io
serious	serious	jj
science	science	nn1
it	it	pph1
is	be	vbz
plainly	plainly	rr
a	a	at1
disaster	disaster	nn1
,	,	y
as	as	csa_ii
the	the	at
steep	steep	jj
decline	decline	nn1
in	in	ii
useful	useful	jj
empirical	empirical	jj
scholarship	scholarship	nn1
indicates	indicate	vvz
,	,	y
thus	thus	rr
threatening	threaten	vvg
to	to	to
return	return	vvi
American	american	jj
literary	literary	jj
scholarship	scholarship	nn1
to	to	ii
the	the	at
level	level	nn1
of	of	io
the	the	at
pre-1950s	pre-1950s	jj
.	.	y
Tell-tale	tell-tale	jj
signs	sign	nn2
are	be	vbr
such	such	da
simple	simple	jj
things	thing	nn2
as	as	csa
the	the	at
vanishing	vanishing	jj
footnote	footnote	nn1
,	,	y
that	that	dd1
instrument	instrument	nn1
of	of	io
straightforward	straightforward	jj
verifiability	verifiability	nn1
and	and	cc
in-depth	in-depth	jj
research	research	nn1
.	.	y
Already	already	rr
a	a	at1
new	new	jj
generation	generation	nn1
of	of	io
young	young	jj
critics	critic	nn2
is	be	vbz
establishing	establish	vvg
itself	itself	ppx1
,	,	y
one	one	pn1
that	that	cst
has	have	vhz
little	little	da1_jj
concept	concept	nn1
or	or	cc
appreciation	appreciation	nn1
of	of	io
plain	plain	jj_nn1
facts	fact	nn2
,	,	y
as	as	csa_rg@
current	current	jj
MLA	mla	nn1
presentations	presentation	nn2
attest	attest	vv0
.	.	y
And	and	cc
these	these	dd2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
universities	university	nn2
.	.	y
Moreover	moreover	rr
,	,	y
this	this	dd1
is	be	vbz
the	the	at
first	first	md
generation	generation	nn1
whose	whose	ddqge
view	view	nn1
of	of	io
the	the	at
world	world	nn1
is	be	vbz
shaped	shape	vvn
not	not	xx
only	only	rr
by	by	ii
the	the	at
massive	massive	jj
absorption	absorption	nn1
of	of	io
television	television	nn1
images	image	nn2
,	,	y
but	but	ccb
whose	whose	ddqge
informational	informational	jj
universe	universe	nn1
is	be	vbz
,	,	y
in	in	rr21
addition	addition	rr22
,	,	y
circumscribed	circumscribe	vvd
largely	largely	rr
by	by	ii
the	the	at
concept	concept	nn1
of	of	io
cyberspace	cyberspace	nn1
.	.	y
Together	together	rl
these	these	dd2
two	two	mc
worlds	world	nn2
reduce	reduce	vv0
the	the	at
perception	perception	nn1
of	of	io
reality	reality	nn1
to	to	ii
the	the	at
epistemological	epistemological	jj
level	level	nn1
of	of	io
cartoons	cartoon	nn2
,	,	y
devoid	devoid	jj
of	of	io
the	the	at
experiential	experiential	jj
complexity	complexity	nn1
of	of	io
ordinary	ordinary	jj
life	life	nn1
,	,	y
producing	produce	vvg
the	the	at
kind	kind	nn1
of	of	io
existential	existential	jj
naivet	naivet	nn1
that	that	cst
incidentally	incidentally	rr
shows	show	vvz
up	up	rp
in	in	ii
the	the	at
amply	amply	rr
proven	proven	jj_vvn
fragility	fragility	nn1
of	of	io
the	the	at
"	"	y
dot.com	dot.com	zz_nn
"	"	y
economy	economy	nn1
.	.	y
Add	add	vv0
to	to	ii
this	this	dd1
a	a	at1
constricting	constricting	jj
,	,	y
mind-numbing	mind-numbing	jj_nn1
set	set	nn1
of	of	io
narrow	narrow	jj
ideologies	ideology	nn2
,	,	y
and	and	cc
a	a	at1
vision	vision	nn1
of	of	io
the	the	at
twenty-first-century	twenty-first-century	jj_nnt1
humanist	humanist	nn1
emerges	emerge	vvz
that	that	cst_dd1
can	can	vm
easily	easily	rr
make	make	vvi
one	one	mc1
shudder	shudder	nn1
.	.	y
<p>	<p>	y
This	this	dd1
endangerment	endangerment	nn1
of	of	io
the	the	at
empirical	empirical	jj
at	at	ii
the	the	at
university	university	nn1
level	level	nn1
aggravates	aggravate	vvz
a	a	at1
process	process	nn1
already	already	rr
under	under	rr21
way	way	rr22
in	in	ii
American	american	jj
society	society	nn1
as	as	ii
a	a	at1
whole	whole	nn1
,	,	y
due	due	ii21
to	to	ii22
the	the	at
significant	significant	jj
social	social	jj
changes	change	nn2
of	of	io
the	the	at
last	last	md
decades	decade	nnt2
.	.	y
As	as	ii_csa
the	the	at
bulk	bulk	nn1
of	of	io
American	american	jj
economy	economy	nn1
and	and	cc
population	population	nn1
has	have	vhz
moved	move	vvn
away	away	ii21_rl
from	from	ii22_ii
farming	farming	nn1
,	,	y
crafts	craft	nn2
and	and	cc
manufacturing	manufacturing	nn1
,	,	y
it	it	pph1
is	be	vbz
losing	lose	vvg
the	the	at
sense	sense	nn1
of	of	io
making	make	vvg
"	"	y
real	real	jj
,	,	y
"	"	y
tangible	tangible	jj
,	,	y
objectively	objectively	rr
verifiable	verifiable	jj
things	thing	nn2
,	,	y
and	and	cc
with	with	iw
it	it	pph1
an	a	at1
important	important	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
high	high	jj
schools	school	nn2
over	over	ii
much	much	da1
of	of	io
America	america	np1
used	use	vmk
to	to	to
include	include	vvi
in	in	ii_rp@
their	their	appge
curriculum	curriculum	nn1
shop	shop	nn1
classes	class	nn2_vvz%
that	that	cst
taught	teach	vvd_jj@
skills	skill	nn2
involving	involve	vvg
hand/eye	hand/eye	nn1
coordination	coordination	nn1
.	.	y
These	these	dd2
stimulated	stimulate	vvn_vvd
the	the	at
brain	brain	nn1
and	and	cc
instilled	instil	vvn
in	in	ii_rp@
many	many	da2
teens	teen	nn2
,	,	y
even	even	rr
the	the	at
college-bound	college-bound	jj_nn1@
like	like	ii
me	me	ppio1
,	,	y
an	a	at1
appreciation	appreciation	nn1
of	of	io
the	the	at
value	value	nn1
of	of	io
craftsmanship	craftsmanship	nn1
,	,	y
and	and	cc
with	with	iw
it	it	pph1
a	a	at1
sense	sense	nn1
of	of	io
empirical	empirical	jj
achievement	achievement	nn1
at	at	ii
an	a	at1
early	early	jj
age	age	nn1
.	.	y
Most	most	dat
of	of	io
these	these	dd2
programs	program	nn2
have	have	vh0
been	be	vbn
abandoned	abandon	vvn
with	with	iw
short-sighted	short-sighted	jj
fervor	fervor	nn1
in	in	ii31
favor	favor	ii32
of	of	ii33
,	,	y
at	at	rr21
best	best	rr22
,	,	y
esthetically	esthetically	rr
narrow	narrow	jj
computer	computer	nn1
classes	class	nn2
.	.	y
So	so	rr
now	now	rt
many	many	da2
teens	teen	nn2
,	,	y
already	already	rr
largely	largely	rr
growing	grow	vvg
up	up	rp
in	in	ii
experientially	experientially	rr
narrow	narrow	jj
,	,	y
sterile	sterile	jj
suburbs	suburb	nn2
where	where	cs_rrq
their	their	appge
imaginative	imaginative	jj
outlet	outlet	nn1
is	be	vbz
limited	limit	vvn
to	to	ii
unrealistic	unrealistic	jj
,	,	y
manipulated	manipulate	vvd_jj@_vvn
media	media	nn
portrayals	portrayal	nn2
of	of	io
reality	reality	nn1
,	,	y
seek	seek	vv0
illusory	illusory	jj
achievement	achievement	nn1
in	in	ii
a	a	at1
neurotic	neurotic	jj
,	,	y
narcissistic	narcissistic	jj
sex-and-drugs	sex-and-drugs	nn2
culture	culture	nn1
.	.	y
But	but	ccb
worst	bad	jjt
of	of	io
all	all	db
they	they	pphs2
grow	grow	vv0
up	up	rp
without	without	iw
a	a	at1
balanced	balanced	jj
sense	sense	nn1
of	of	io
the	the	at
overall	overall	jj_nn1
importance	importance	nn1
of	of	io
the	the	at
empirical	empirical	jj
in	in	ii
daily	daily	jj
life	life	nn1
.	.	y
<p>	<p>	y
The	the	at
challenge	challenge	nn1
of	of	io
the	the	at
new	new	jj
century	century	nnt1
then	then	rt
is	be	vbz
to	to	to
maintain	maintain	vvi
the	the	at
empirical	empirical	jj
tradition	tradition	nn1
.	.	y
At	at	ii
the	the	at
university	university	nn1
level	level	nn1
,	,	y
this	this	dd1
calls	call	vvz
for	for	if
a	a	at1
philosophy	philosophy	nn1
of	of	io
the	the	at
authentically	authentically	rr
experiential	experiential	jj
to	to	to
counteract	counteract	vvi
the	the	at
deleterious	deleterious	jj
effects	effect	nn2
of	of	io
excessive	excessive	jj
theory	theory	nn1
,	,	y
one	one	pn1
which	which	ddq
asks	ask	vvz
,	,	y
for	for	rex21
example	example	rex22
:	:	y
What	what	ddq
is	be	vbz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
never	never	rr
directly	directly	rr
experienced	experience	vvn
his	his	appge
subject	subject	nn1
:	:	y
such	such	ii21
as	as	ii22
that	that	dd1
of	of	io
a	a	at1
Marxist	marxist	nn1@
who	who	pnqs
has	have	vhz
never	never	rr
experienced	experience	vvn
the	the	at
effects	effect	nn2
of	of	io
communism	communism	nn1
on	on	ii
his	his	appge
own	own	da
body	body	nn1
?	?	y
And	and	cc
as	as	ii@_rg@_csa
all	all	db
the	the	at
new	new	jj
technologies	technology	nn2
begin	begin	vv0
to	to	to
predominate	predominate	vvi
and	and	cc
impose	impose	vvi
new	new	jj
conditions	condition	nn2
on	on	ii
our	our	appge
lives	life	nn2
we	we	ppis2
need	need	vv0
to	to	to
ask	ask	vvi
once	once	rr21
again	again	rr22
those	those	dd2
age-old	age-old	jj
humanist	humanist	jj_nn1
questions	question	nn2
on	on	ii
the	the	at
most	most	rgt
basic	basic	jj
level	level	nn1
:	:	y
What	what	ddq
is	be	vbz
reality	reality	nn1
?	?	y
What	what	ddq
is	be	vbz
the	the	at
purpose	purpose	nn1
of	of	io
each	each	dd1
individual	individual	jj_nn1
human	human	jj_nn1
life	life	nn1
?	?	y
At	at	rr21
present	present	rr22
,	,	y
American	american	jj
universities	university	nn2
are	be	vbr
not	not	xx
equipped	equip	vvn
for	for	if
this	this	dd1
challenging	challenging	jj
task	task	nn1
,	,	y
because	because	cs
the	the	at
narrowness	narrowness	nn1
of	of	io
ideological	ideological	jj
conformity	conformity	nn1
,	,	y
combined	combine	vvn
with	with	iw
an	a	at1
uncautious	uncautious	jj
trust	trust	nn1
in	in	ii
technology	technology	nn1
,	,	y
that	that	dd1_cst
characterizes	characterize	vvz
the	the	at
once	once	rr
best	best	rrt
of	of	io
them	them	ppho2
from	from	ii
Stanford	stanford	np1
on	on	ii
the	the	at
West	west	nd1
Coast	coast	nn1
to	to	ii
Harvard	harvard	np1
and	and	cc
Yale	yale	np1
in	in	ii
the	the	at
East	east	nd1
,	,	y
makes	make	vvz
any	any	dd
factual	factual	jj
exploration	exploration	nn1
of	of	io
these	these	dd2
questions	question	nn2
close	close	rr
to	to	ii
impossible	impossible	jj
.	.	y
This	this	dd1
is	be	vbz
because	because	cs
the	the	at
empirical	empirical	jj
epistemological	epistemological	jj
tools	tool	nn2
that	that	cst
are	be	vbr
the	the	at
hard-won	hard-won	jj
fruits	fruit	nn2
of	of	io
Western	western	jj_np1
philosophy	philosophy	nn1
and	and	cc
culture	culture	nn1
are	be	vbr
now	now	rt
being	be	vbg
openly	openly	rr
disavowed	disavow	vvn
,	,	y
if	if	cs
not	not	xx
totally	totally	rr
demonized	demonize	vvd_vvn@
,	,	y
by	by	ii
the	the	at
anti-enlightenment	anti-enlightenment	jj_nn1
forces	force	nn2
inside	inside	ii
Western	western	jj_np1
culture	culture	nn1
itself	itself	ppx1
.	.	y
So	so	rr
strong	strong	jj
is	be	vbz
the	the	at
attack	attack	nn1
on	on	ii
empiricism	empiricism	nn1
that	that	cst
not	not	xx
even	even	rr
the	the	at
"	"	y
hard	hard	jj
"	"	y
sciences	science	nn2
are	be	vbr
spared	spare	vvn
,	,	y
as	as	csa_ii
the	the	at
spectacular	spectacular	jj
Allan	allan	np1
Sokal	sokal	np1_jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
anti-Western	anti-western	jj
cultural	cultural	jj
revisionism	revisionism	nn1
is	be	vbz
that	that	cst
it	it	pph1
is	be	vbz
not	not	xx
at	at	rr21
all	all	rr22
an	a	at1
American	american	jj
homegrown	home-grown	jj@
phenomenon	phenomenon	nn1
,	,	y
but	but	ccb
paradoxically	paradoxically	rr
a	a	at1
European	european	jj
import	import	nn1
.	.	y
It	it	pph1
is	be	vbz
actually	actually	rr
a	a	at1
by-product	by-product	nn1
of	of	io
a	a	at1
long	long	jj
tradition	tradition	nn1
in	in	ii
European	european	jj
civilization	civilization	nn1
,	,	y
which	which	ddq
has	have	vhz
always	always	rr
been	be	vbn
accompanied	accompany	vvn
,	,	y
as	as	csa
by	by	ii
a	a	at1
Jungian	jungian	jj
shadow	shadow	nn1
,	,	y
by	by	ii
elements	element	nn2
of	of	io
nihilistic	nihilistic	jj
philosophy	philosophy	nn1
,	,	y
always	always	rr
lurking	lurking	jj_vvg
and	and	cc
poised	poise	vvn_vvd@
to	to	to
erupt	erupt	vvi
in	in	ii_rp@
times	time	nnt2
of	of	io
crises	crisis	nn2
.	.	y
Goethe	goethe	np1
,	,	y
a	a	at1
wise	wise	jj
European	european	nn1_jj
,	,	y
ingeniously	ingeniously	rr
summed	sum	vvd_vvn
it	it	pph1
up	up	rp
in	in	ii
the	the	at
character	character	nn1
of	of	io
Mephistopheles	mephistopheles	np1
:	:	y
"	"	y
I	i	ppis1
am	be	vbm
the	the	at
spirit	spirit	nn1
that	that	cst
always	always	rr
negates	negate	vvz_nn2
,	,	y
"	"	y
(	(	y
Faust	faust	np1
I	i	zz1%
,	,	y
line	line	nn1_vv0@
1338	1338	mc
,	,	y
my	my	appge
translation	translation	nn1
)	)	y
.	.	y
As	as	ii
such	such	da
,	,	y
it	it	pph1
was	be	vbdz
imported	import	vvn
to	to	ii
America	america	np1
in	in	ii
a	a	at1
moment	moment	nn1
of	of	io
spiritual	spiritual	jj
weakness	weakness	nn1
,	,	y
of	of	io
Faustian	faustian	jj
soul-searching	soul-searching	nn1_jj
,	,	y
during	during	ii
the	the	at
Vietnam	vietnam	np1
War	war	nn1
upheavals	upheaval	nn2
when	when	rrq_cs
many	many	da2
here	here	rl
were	be	vbdr
ready	ready	jj_rr@
to	to	to
listen	listen	vvi
to	to	ii
gifted	gifted	jj
Mephistophelian	mephistophelian	jj
pied	pied	jj
pipers	piper	nn2
from	from	ii
Europe	europe	np1
.	.	y
It	it	pph1
is	be	vbz
a	a	at1
spirit	spirit	nn1
of	of	io
doctrinaire	doctrinaire	jj
hardness	hardness	nn1
,	,	y
forged	forge	vvn_vvd
in	in	ii
the	the	at
harsher	harsh	jjr
climate	climate	nn1
of	of	io
an	a	at1
older	old	jjr
civilization	civilization	nn1
,	,	y
and	and	cc
immeasurably	immeasurably	rr
amplified	amplify	vvn
by	by	ii
the	the	at
massive	massive	jj
bitterness	bitterness	nn1
,	,	y
inhumanity	inhumanity	nn1
,	,	y
and	and	cc
suffering	suffering	nn1
of	of	io
twentieth-century	twentieth-century	jj
Old	old	jj
World	world	nn1
events	event	nn2
from	from	ii
which	which	ddq
my	my	appge
own	own	da
family	family	nn1
were	be	vbdr
refugees	refugee	nn2
.	.	y
For	for	if
the	the	at
more	more	rgr
individualistic	individualistic	jj
,	,	y
optimistic	optimistic	jj
,	,	y
newer	new	jjr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
which	which	ddq
has	have	vhz
never	never	rr
experienced	experience	vvn
misery	misery	nn1
on	on	ii
that	that	dd1
scale	scale	nn1
(	(	y
no	no	uh
,	,	y
not	not	xx
even	even	rr
the	the	at
9/11-trauma	9/11-trauma	fu
comes	come	vvz
close	close	jj_rr@
)	)	y
,	,	y
it	it	pph1
is	be	vbz
simply	simply	rr
not	not	xx
practical	practical	jj
.	.	y
<p>	<p>	y
Stepping	step	vvg
out	out	ii21
of	of	ii22
the	the	at
conference	conference	nn1
halls	hall	nn2
in	in	ii
Washington	washington	np1
,	,	y
I	i	ppis1
felt	feel	vvd
once	once	rr21
again	again	rr22
the	the	at
fresh	fresh	jj
breath	breath	nn1
of	of	io
reality	reality	nn1
.	.	y
Fortunately	fortunately	rr
,	,	y
we	we	ppis2
are	be	vbr
in	in	ii
a	a	at1
profession	profession	nn1
the	the	at
consequences	consequence	nn2
of	of	io
whose	whose	ddqge
works	works	nn
are	be	vbr
mercifully	mercifully	rr
not	not	xx
immediately	immediately	rr
evident	evident	jj
in	in	ii
the	the	at
outside	outside	jj
world	world	nn1
.	.	y
These	these	dd2
are	be	vbr
the	the	at
liberal	liberal	jj
arts	art	nn2
,	,	y
after	after	ii
all	all	db
,	,	y
reasonably	reasonably	rr
detached	detach	vvn
from	from	ii
immediate	immediate	jj
material	material	nn1_jj@
impact	impact	nn1
.	.	y
In	in	ii
Washington	washington	np1
,	,	y
the	the	at
MLA-buses	mla-buses	nn2
still	still	rr
ran	run	vvd
smoothly	smoothly	rr
,	,	y
regardless	regardless	rr
of	of	io
what	what	ddq
was	be	vbdz
being	be	vbg
said	say	vvn@
inside	inside	ii
the	the	at
halls	hall	nn2
of	of	io
the	the	at
convention	convention	nn1
.	.	y
Their	their	appge
drivers	driver	nn2
strove	strive	vvd
to	to	to
be	be	vbi
on	on	ii
schedule	schedule	nn1
and	and	cc
did	do	vdd
not	not	xx
insist	insist	vvi
on	on	ii
"	"	y
indeterminacy	indeterminacy	nn1
.	.	y
"	"	y
Passengers	passenger	nn2
happily	happily	rr
crowded	crowd	vvd_vvn@
in	in	rp@
without	without	iw
suffering	suffer	vvg_nn1_jj
from	from	ii
"	"	y
contiguity	contiguity	nn1
disorder	disorder	nn1
.	.	y
"	"	y
And	and	cc
could	could	vm
one	one	pn1
imagine	imagine	vvi
a	a	at1
traffic	traffic	nn1
system	system	nn1
that	that	cst_dd1
was	be	vbdz
culturally	culturally	rr
determined	determine	vvn_jj
