##2000173		
None	none	pn
where	where	rrqv33
they	they	pphs2
were	be	vbdr
made	make	vvn
,	,	y
or	or	cc
during	during	ii
which	which	ddq
era	era	nn1
,	,	y
their	their	appge
mode	mode	nn1
of	of	io
operation	operation	nn1
is	be	vbz
basically	basically	rr
the	the	at
same	same	da
.	.	y
Most	most	dat_rgt
amazing	amazing	jj
of	of	io
all	all	db
,	,	y
though	though	cs_rr@
,	,	y
are	be	vbr
the	the	at
similarities	similarity	nn2
between	between	ii
the	the	at
machinery	machinery	nn1
being	be	vbg
used	use	vvn
to	to	to
cut	cut	vvi
rifling	rifle	vvg
today	today	rt
and	and	cc
that	that	dd1
of	of	io
centuries	century	nnt2
ago	ago	ra
.	.	y
Today	today	rt
's	's	ge
machinery	machinery	nn1
is	be	vbz
bigger	big	jjr
,	,	y
of	of	rr21
course	course	rr22
,	,	y
built	build	vvn_vvd
of	of	io
heavy	heavy	jj
steel	steel	nn1
,	,	y
powered	power	vvn
by	by	ii
motors	motor	nn2
and	and	cc
automatically	automatically	rr
indexed	index	vvn_vvd
so	so	cs21
that	that	cs22
the	the	at
cutting	cutting	nn1_jj@
blade	blade	nn1
or	or	cc
hook	hook	nn1
passes	pass	vvz_nn2
from	from	ii
one	one	mc1
groove	groove	nn1
to	to	ii
the	the	at
next	next	md
without	without	iw
being	be	vbg
hand	hand	nn1
set	set	nn1_vvd_vvn
;	;	y
but	but	ccb
still	still	rr
the	the	at
grooves	groove	nn2
are	be	vbr
being	be	vbg
cut	cut	vvn
one	one	mc1
thin	thin	jj
slice	slice	nn1
at	at	ii
a	a	at1
time	time	nnt1
.	.	y
Gunsmiths	gunsmith	nn2_np1@
who	who	pnqs
were	be	vbdr
rifling	rifle	vvg_jj@
barrels	barrel	nn2
when	when	rrq_cs
Columbus	columbus	np1
set	set	vvd_nn1_vv0
sail	sail	nn1@_vv0
would	would	vm
probably	probably	rr
recognize	recognize	vvi
a	a	at1
modern	modern	jj
machine	machine	nn1
for	for	if
exactly	exactly	rr
what	what	ddq
it	it	pph1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
a	a	at1
"	"	y
modern	modern	jj
"	"	y
machine	machine	nn1
for	for	if
cutting	cut	vvg_nn1_jj@
rifling	rifling	nn1@_vvg_jj@
.	.	y
Virtually	virtually	rr
all	all	db
major	major	jj
gunmakers	gunmaker	nn2
have	have	vh0
abandoned	abandon	vvn
the	the	at
time-consuming	time-consuming	jj
cut-rifling	cut-rifling	jj_nn1
process	process	nn1_vv0
in	in	ii31
favor	favor	ii32
of	of	ii33
faster	faster	jjr
methods	method	nn2
.	.	y
If	if	cs
you	you	ppy
own	own	vv0@
a	a	at1
rifle	rifle	nn1
made	make	vvn_vvd
before	before	ii
World	world	nn1
War	war	nn1
II	ii	mc
,	,	y
you	you	ppy
can	can	vm
be	be	vbi
sure	sure	jj
that	that	cst
the	the	at
rifling	rifling	nn1@
got	get	vvd_vvn
there	there	rl
by	by	ii
the	the	at
cut	cut	nn1_jj@
method	method	nn1
.	.	y
After	after	ii_cs
1960	1960	mc
,	,	y
virtually	virtually	rr
all	all	db
production-grade	production-grade	jj
rifles	rifle	nn2
were	be	vbdr
rifled	rifle	vvn
by	by	ii
another	another	dd1
process	process	nn1
:	:	y
button	button	nn1_vv0@
or	or	cc
hammer	hammer	nn1_vv0@
forging	forging	nn1_vvg
.	.	y
The	the	at
years	year	nnt2
in	in	rl21
between	between	rl22
were	be	vbdr
a	a	at1
time	time	nnt1
of	of	io
transition	transition	nn1
for	for	if
the	the	at
gun	gun	nn1
industry	industry	nn1
.	.	y
As	as	ii_csa
the	the	at
cut	cut	nn1_jj@
process	process	nn1
was	be	vbdz
abandoned	abandon	vvn
by	by	ii
government	government	nn1
arsenals	arsenal	nn2
and	and	cc
commercial	commercial	jj
industry	industry	nn1
,	,	y
the	the	at
surplus	surplus	jj_nn1
machinery	machinery	nn1
--	--	x
some	some	dd
of	of	io
which	which	ddq
dated	date	vvd@
back	back	rp
to	to	ii
World	world	nn1
War	war	nn1
I	i	zz1%_mc1%_ppis1
or	or	cc
even	even	rr
earlier	early	jjr
--	--	x
was	be	vbdz
bought	buy	vvn
up	up	rp
by	by	ii
individual	individual	jj_nn1
craftsmen	craftsman	nn2
who	who	pnqs
rebuilt	rebuild	vvd@
or	or	cc
modified	modify	vvd
it	it	pph1
for	for	if
their	their	appge
own	own	da
use	use	nn1
.	.	y
Thus	thus	rr
,	,	y
the	the	at
tradition	tradition	nn1
of	of	io
actually	actually	rr
cutting	cut	vvg_jj@
rifling	rifle	vvg_nn1@_jj@
into	into	ii
the	the	at
walls	wall	nn2
of	of	io
a	a	at1
barrel	barrel	nn1
continued	continue	vvd_vvn
.	.	y
In	in	ii31
light	light	ii32
of	of	ii33
more	more	rgr
modern	modern	jj
and	and	cc
faster	faster	jjr
ways	way	nn2
of	of	io
rifling	rifle	vvg_jj@
barrels	barrel	nn2
,	,	y
this	this	dd1
may	may	vm
seem	seem	vvi
archaic	archaic	jj
;	;	y
but	but	ccb
do	do	vd0
n't	n't	xx
argue	argue	vvi
with	with	iw
the	the	at
results	result	nn2
.	.	y
There	there	ex
are	be	vbr
those	those	dd2
who	who	pnqs
claim	claim	vv0
that	that	cst_dd1
cut	cut	vv0_nn1_jj@
rifling	rifle	vvg_nn1@
is	be	vbz
still	still	rr
the	the	at
most	most	rgt
accurate	accurate	jj
,	,	y
and	and	cc
they	they	pphs2
back	back	vv0@
up	up	rp
their	their	appge
claims	claim	nn2
with	with	iw
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
cut	cut	nn1_jj@
rifling	rifle	vvg_nn1@
,	,	y
as	as	csa
was	be	vbdz
Jack	jack	np1
O'Connor	o'connor	np1
's	's	ge
favorite	favorite	jj_nn1
barrelmaker	barrelmaker	nn1
,	,	y
Bill	bill	np1
Sukalle	sukalle	np1
.	.	y
By	by	ii
the	the	at
time	time	nnt1
I	i	ppis1
arrived	arrive	vvd
on	on	ii
the	the	at
shooting	shooting	nn1_jj@
scene	scene	nn1
,	,	y
Bill	bill	np1
Atkinson	atkinson	np1
of	of	io
the	the	at
old	old	jj
A	a	zz1_at1@
&M;	&m;	x
Gun	gun	nn1
Works	works	npx
was	be	vbdz
cutting	cut	vvg
rifling	rifle	vvg_nn1@_jj@
that	that	dd1_cst
set	set	nn1_vv0_vvd_jj@
world	world	nn1
records	record	nn2
for	for	if
accuracy	accuracy	nn1
.	.	y
Today	today	rt
,	,	y
barrelmakers	barrelmakers	nn2
Tom	tom	np1
Houghton	houghton	np1
(	(	y
H	h	zz1
&H;	&h;	x
Precision	precision	nn1
)	)	y
,	,	y
Boots	boots	np1
Obermeyer	obermeyer	np1
,	,	y
Paul	paul	np1
Marquart	marquart	np1
,	,	y
John	john	np1
Krieger	krieger	np1
,	,	y
Mark	mark	np1
Chanlynn	chanlynn	np1
(	(	y
Rocky	rocky	np1
Mountain	mountain	nnl1
Rifle	rifle	nn1
Works	work	vvz_nn
)	)	y
,	,	y
to	to	to
name	name	vvi
a	a	at1
few	few	da2
,	,	y
still	still	jj@_rr
rifle	rifle	nn1
barrels	barrel	nn2
by	by	ii
the	the	at
cut	cut	nn1_jj@
system	system	nn1
.	.	y
If	if	cs
you	you	ppy
keep	keep	vv0
up	up	rp
with	with	iw
championship-level	championship-level	jj_nn1
shooting	shooting	nn1_vvg
at	at	ii
Camp	camp	np1
Perry	perry	np1
and	and	cc
the	the	at
ultra-accurate	ultra-accurate	jj
game	game	nn1
of	of	io
benchrest	benchrest	jjt
,	,	y
you	you	ppy
will	will	vm
see	see	vvi
some	some	dd
of	of	io
these	these	dd2
names	name	nn2
in	in	ii
the	the	at
winning-equipment	winning-equipment	jj_nn1
listings	listing	nn2
on	on	ii
a	a	at1
regular	regular	jj
basis	basis	nn1
.	.	y
Interestingly	interestingly	rr
,	,	y
rifling	rifle	vvg_nn1@
can	can	vm
be	be	vbi
cut	cut	vvn
with	with	iw
such	such	da
dimensional	dimensional	jj
precision	precision	nn1
that	that	cst
barrels	barrel	nn2
rifled	rifle	vvd
this	this	dd1
way	way	nn1
are	be	vbr
still	still	rr
preferred	prefer	vvn_vvd
for	for	if
most	most	dat
ballistic	ballistic	jj
laboratory	laboratory	nn1
testing	testing	nn1_vvg
.	.	y
There	there	ex
are	be	vbr
four	four	mc
basic	basic	jj
methods	method	nn2
of	of	io
rifling	rifle	vvg
currently	currently	rr
in	in	ii
widespread	widespread	jj
use	use	nn1
:	:	y
the	the	at
cut	cut	nn1_jj@
method	method	nn1
I	i	ppis1
've	have	vh0
just	just	rr
talked	talk	vvn
about	about	ii
,	,	y
the	the	at
button	button	nn1
and	and	cc
hammer	hammer	nn1_vv0@
forging	forging	nn1_vvg
processes	process	nn2
,	,	y
which	which	ddq
I	i	ppis1
'll	will	vm
discuss	discuss	vvi
later	later	rrr_jjr
,	,	y
and	and	cc
the	the	at
broaching	broaching	jj@_nn1@
technique	technique	nn1
.	.	y
You	you	ppy
wo	will	vm
n't	n't	xx
hear	hear	vvi
of	of	io
broached	broached	jj%_vvn
rifling	rifling	nn1@_vvg
in	in	ii31
connection	connection	ii32
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
a	a	at1
20mm	20mm	nnu
cannon	cannon	nn
,	,	y
but	but	ccb
it	it	pph1
is	be	vbz
the	the	at
most	most	rgt
often	often	rr
used	use	vvn_vvd_jj
rifling	rifle	vvg_jj@_nn1@
system	system	nn1
for	for	if
centerfire	centerfire	nn1
handguns	handgun	nn2_vvz
.	.	y
Basically	basically	rr
,	,	y
a	a	at1
broach	broach	nn1
is	be	vbz
a	a	at1
tool	tool	nn1
with	with	iw
multiple	multiple	jj_nn1
cutting	cutting	nn1_jj@
edges	edge	nn2
that	that	cst
completely	completely	rr
cuts	cut	vvz
all	all	db
the	the	at
rifling	rifling	jj@_nn1@
grooves	groove	nn2
at	at	ii
one	one	mc1
time	time	nnt1
.	.	y
It	it	pph1
is	be	vbz
extremely	extremely	rr
fast	fast	jj
,	,	y
and	and	cc
if	if	cs_csw@
the	the	at
broach	broach	nn1
is	be	vbz
properly	properly	rr
sharpened	sharpen	vvn_vvd_jj
,	,	y
the	the	at
method	method	nn1
produces	produce	vvz
excellent	excellent	jj
results	result	nn2
.	.	y
The	the	at
poor	poor	jj
accuracy	accuracy	nn1
of	of	io
some	some	dd
handguns	handgun	nn2
can	can	vm
usually	usually	rr
be	be	vbi
traced	trace	vvn
to	to	ii
causes	cause	nn2
other	other	ii21
than	than	ii22
the	the	at
guns	gun	nn2
'	'	ge
broached	broached	jj%
barrels	barrel	nn2
.	.	y
The	the	at
time	time	nnt1
it	it	pph1
takes	take	vvz
to	to	ii
broach-rifle	broach-rifle	nn1_jj
a	a	at1
handgun	handgun	nn1
barrel	barrel	nn1
is	be	vbz
about	about	ii
the	the	at
same	same	da
as	as	csa
it	it	pph1
takes	take	vvz
to	to	to
read	read	vvi
this	this	dd1
sentence	sentence	nn1
.	.	y
The	the	at
concept	concept	nn1
of	of	io
button	button	nn1
rifling	rifling	nn1@_vvg
is	be	vbz
simplicity	simplicity	nn1
itself	itself	ppx1
,	,	y
but	but	ccb
in	in	ii
actual	actual	jj
practice	practice	nn1
the	the	at
process	process	nn1
is	be	vbz
somewhat	somewhat	rr
complex	complex	jj
.	.	y
After	after	cs_ii
the	the	at
bar	bar	nn1
of	of	io
barrel	barrel	nn1
steel	steel	nn1
is	be	vbz
drilled	drill	vvn
and	and	cc
then	then	rt
reamed	ream	vvd_vvn@
to	to	ii
a	a	at1
smooth	smooth	jj
,	,	y
uniform	uniform	jj_nn1
size	size	nn1
,	,	y
a	a	at1
super-hard	super-hard	jj
button	button	nn1
is	be	vbz
inserted	insert	vvn
and	and	cc
either	either	rr
pushed	push	vvn_vvd
or	or	cc
pulled	pull	vvn_vvd
through	through	ii
the	the	at
length	length	nn1
of	of	io
the	the	at
bore	bore	nn1
.	.	y
The	the	at
tight-fitting	tight-fitting	jj
button	button	nn1
is	be	vbz
ringed	ring	vvn@
with	with	iw
ridges	ridge	nn2
that	that	cst_dd1
press	press	vv0_nn1
into	into	ii
the	the	at
wall	wall	nn1
of	of	io
the	the	at
bore	bore	nn1
,	,	y
forming	form	vvg
the	the	at
customary	customary	jj
spiraling	spiraling	jj@_nn1@
grooves	groove	nn2
of	of	io
rifling	rifle	vvg_nn1@
.	.	y
As	as	ii_csa
the	the	at
button	button	nn1
is	be	vbz
forced	force	vvn
through	through	ii
the	the	at
bore	bore	nn1
,	,	y
it	it	pph1
does	do	vdz
not	not	xx
actually	actually	rr
cut	cut	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
into	into	ii
the	the	at
walls	wall	nn2
of	of	io
the	the	at
bore	bore	nn1
.	.	y
Some	some	dd
barrelmakers	barrelmakers	nn2
dimension	dimension	nn1
their	their	appge
buttons	button	nn2
so	so	cs21
that	that	cs22
the	the	at
total	total	jj_nn1
volume	volume	nn1
of	of	io
displaced	displaced	jj
steel	steel	nn1
is	be	vbz
pushed	push	vvn
outward	outward	rl
,	,	y
whereas	whereas	cs
others	others	nn2
allow	allow	vv0
for	for	if
the	the	at
displaced	displaced	jj
metal	metal	nn1
to	to	to
flow	flow	vvi
laterally	laterally	rr
and	and	cc
be	be	vbi
molded	mold	vvn@
into	into	ii
part	part	nn1
of	of	io
the	the	at
lands	land	nn2
.	.	y
As	as	csa
you	you	ppy
would	would	vm
imagine	imagine	vvi
,	,	y
it	it	pph1
takes	take	vvz
a	a	at1
lot	lot	nn1
of	of	io
power	power	nn1
to	to	to
force	force	vvi
a	a	at1
button	button	nn1
through	through	ii
an	a	at1
undersize	undersize	jj@
hole	hole	nn1
in	in	ii
a	a	at1
bar	bar	nn1
of	of	io
barrel	barrel	nn1
steel	steel	nn1
.	.	y
That	that	dd1
is	be	vbz
why	why	rrq
the	the	at
job	job	nn1
requires	require	vvz
hefty	hefty	jj
hydraulic	hydraulic	jj
presses	press	nn2
delivering	deliver	vvg
tons	ton	nnu2
of	of	io
pressure	pressure	nn1
.	.	y
Depending	depending	ii21
on	on	ii22
the	the	at
equipment	equipment	nn1
,	,	y
a	a	at1
button	button	nn1
's	's	ge
journey	journey	nn1
through	through	ii
a	a	at1
bore	bore	nn1
will	will	vm
take	take	vvi
about	about	rg
three	three	mc
to	to	ii
six	six	mc
minutes	minute	nnt2
.	.	y
Some	some	dd
barrelmakers	barrelmakers	nn2
use	use	vv0
a	a	at1
system	system	nn1
that	that	cst
guides	guide	nn2
the	the	at
rate	rate	nn1
of	of	io
turn	turn	nn1
of	of	io
the	the	at
button	button	nn1
as	as	csa
it	it	pph1
passes	pass	vvz
through	through	ii
the	the	at
bore	bore	nn1
,	,	y
whereas	whereas	cs
others	others	nn2
allow	allow	vv0
the	the	at
button	button	nn1
to	to	to
float	float	vvi
,	,	y
or	or	cc
turn	turn	vv0_nn1
freely	freely	rr
,	,	y
following	follow	vvg
the	the	at
trail	trail	nn1
made	make	vvn
by	by	ii
the	the	at
angle	angle	nn1
of	of	io
its	its	z'
own	own	da
lands	land	nn2
and	and	cc
grooves	groove	nn2
.	.	y
The	the	at
rate	rate	nn1
of	of	io
twist	twist	nn1
of	of	io
this	this	dd1
system	system	nn1
is	be	vbz
established	establish	vvn
simply	simply	rr
by	by	ii
the	the	at
angle	angle	nn1
at	at	ii
which	which	ddq
the	the	at
grooves	groove	nn2
are	be	vbr
cut	cut	vvn
on	on	ii
the	the	at
button	button	nn1
.	.	y
When	when	cs
the	the	at
button	button	nn1
emerges	emerge	vvz
it	it	pph1
leaves	leave	vvz
a	a	at1
slick	slick	nn1_jj
,	,	y
fully	fully	rr
rifled	rifled	jj@_vvd_vvn@
bore	bore	nn1
;	;	y
but	but	ccb
depending	depending	ii21
on	on	ii22
the	the	at
barrelmaker	barrelmaker	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
button	button	nn1
shoulders	shoulder	vvz%_nn2
its	its	z'
way	way	nn1
through	through	ii
the	the	at
resisting	resisting	jj@
steel	steel	nn1
it	it	pph1
leaves	leave	vvz
a	a	at1
wake	wake	nn1
of	of	io
stresses	stress	nn2
in	in	ii
the	the	at
barrel	barrel	nn1
that	that	cst_dd1
,	,	y
if	if	cs
not	not	xx
controlled	control	vvn
,	,	y
can	can	vm
do	do	vdi
some	some	dd
very	very	rg
ugly	ugly	jj
things	thing	nn2
to	to	ii
accuracy	accuracy	nn1
.	.	y
This	this	dd1
is	be	vbz
why	why	rrq
some	some	dd
makers	maker	nn2
,	,	y
but	but	ccb
not	not	xx
all	all	db_rr@
,	,	y
heat	heat	nn1_vv0@
treat	treat	vv0
their	their	appge
barrels	barrel	nn2
to	to	to
remove	remove	vvi
these	these	dd2
internal	internal	jj
forces	force	nn2
,	,	y
leaving	leave	vvg
the	the	at
barrel	barrel	nn1
docile	docile	nn1
and	and	cc
ready	ready	jj
for	for	if
turning	turn	vvg
to	to	to
shape	shape	vvi
and	and	cc
final	final	jj
fitting	fitting	nn1
.	.	y
The	the	at
crowning	crowning	jj@
touch	touch	nn1
on	on	ii
some	some	dd
button-rifled	button-rifled	jj
barrels	barrel	nn2
is	be	vbz
a	a	at1
final	final	jj
hand-lapping	hand-lapping	nn1_jj
,	,	y
which	which	ddq
erases	erase	vvz
the	the	at
surface	surface	nn1
etching	etching	nn1_vvg
left	leave	vvn
by	by	ii
some	some	dd
button-lubricating	button-lubricating	jj_nn1
methods	method	nn2
(	(	y
especially	especially	rr
with	with	iw
stainless	stainless	jj
steel	steel	nn1
,	,	y
which	which	ddq
further	far	rrr
explains	explain	vvz
why	why	rrq
custom	custom	nn1
stainless	stainless	jj
barrels	barrel	nn2
are	be	vbr
more	more	rgr
expensive	expensive	jj
)	)	y
and	and	cc
further	far	rrr
refines	refine	vvz
internal	internal	jj
dimensions	dimension	nn2
and	and	cc
finish	finish	nn1_vv0
.	.	y
Accuracy	accuracy	nn1
notwithstanding	notwithstanding	rr
,	,	y
the	the	at
appeal	appeal	nn1
of	of	io
button	button	nn1
rifling	rifle	vvg
to	to	ii
the	the	at
mass	mass	jj_nn1
manufacturer	manufacturer	nn1
was	be	vbdz
speed	speed	nn1
.	.	y
Not	not	xx
only	only	rr
was	be	vbdz
the	the	at
speedy	speedy	jj
thrust	thrust	nn1
of	of	io
a	a	at1
button	button	nn1
much	much	rr
faster	fast	rrr_jjr
than	than	csn
the	the	at
time	time	nnt1
consuming	consume	vvg
cut	cut	jj@_nn1
system	system	nn1
,	,	y
but	but	ccb
it	it	pph1
speeded	speed	vvd
other	other	jj
processes	process	nn2
,	,	y
as	as	rr21
well	well	rr22_rr
.	.	y
It	it	pph1
meant	mean	vvd
that	that	cst
the	the	at
time	time	nnt1
spent	spend	vvn
reaming	ream	vvg_jj@_nn1@
and	and	cc
polishing	polish	vvg@_nn1
a	a	at1
drilled	drilled	jj%
hole	hole	nn1
prior	prior	ii21
to	to	ii22
rifling	rifle	vvg_nn1@
could	could	vm
be	be	vbi
minimized	minimize	vvn@
because	because	cs
the	the	at
button	button	nn1
tended	tend	vvd
to	to	to
iron	iron	vvi
out	out	rp
tool	tool	nn1
marks	mark	nn2
and	and	cc
flatten	flatten	vvi
dimensional	dimensional	jj
irregularities	irregularity	nn2
,	,	y
making	make	vvg
the	the	at
finished	finished	jj@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
button	button	nn1
process	process	nn1
was	be	vbdz
adopted	adopt	vvn
by	by	ii
a	a	at1
large	large	jj
percentage	percentage	nn1
of	of	io
gunmakers	gunmaker	nn2
the	the	at
world	world	nn1
over	over	rp
.	.	y
In	in	ii
fact	fact	nn1
,	,	y
the	the	at
button	button	nn1
process	process	nn1
became	become	vvd
so	so	rg_rr
successful	successful	jj
and	and	cc
widely	widely	rr
used	use	vvn_vvd
that	that	cst
it	it	pph1
looked	look	vvd
like	like	ii_cs@
it	it	pph1
was	be	vbdz
here	here	rl
to	to	to
stay	stay	vvi
.	.	y
But	but	ccb
even	even	rr
in	in	ii
an	a	at1
industry	industry	nn1
as	as	csa_ii@
plodding	plod	vvg_jj@
and	and	cc
hidebound	hidebound	jj
as	as	csa_ii@
gun	gun	nn1
making	make	vvg
there	there	ex_rl
is	be	vbz
always	always	rr
someone	someone	pn1
looking	look	vvg
for	for	if
faster	faster	jjr_rrr
,	,	y
easier	easy	rrr_jjr
and	and	cc
cheaper	cheap	jjr
ways	way	nn2
to	to	to
make	make	vvi
things	thing	nn2
.	.	y
That	that	dd1
faster	faster	jjr
way	way	nn1
of	of	io
making	make	vvg
barrels	barrel	nn2
is	be	vbz
what	what	ddq
has	have	vhz
come	come	vvn
to	to	to
be	be	vbi
known	know	vvn
as	as	ii
hammer	hammer	nn1
forging	forging	nn1_vvg
.	.	y
The	the	at
"	"	y
hammer	hammer	nn1
forging	forging	nn1_vvg
"	"	y
way	way	nn1
of	of	io
rifling	rifle	vvg_jj@
barrels	barrel	nn2
was	be	vbdz
brought	bring	vvn
to	to	ii
the	the	at
attention	attention	nn1
of	of	io
American	american	jj
shooters	shooter	nn2
by	by	ii
no	no	at
less	less	rrr
a	a	at1
promoter	promoter	nn1
than	than	csn
Roy	roy	np1
Weatherby	weatherby	np1_nn1
.	.	y
Back	back	nn1_rp
in	in	ii
the	the	at
late	late	jj
1950s	1950s	mc2
,	,	y
when	when	cs_rrq
he	he	pphs1
introduced	introduce	vvd
his	his	appge
Mark	mark	nn1@_np1
V	xx_v	ii@_zz1
rifle	rifle	nn1
,	,	y
one	one	mc1
of	of	io
Weatherby	weatherby	np1_nn1
's	's	ge
promotional	promotional	jj
gambits	gambit	nn2
was	be	vbdz
that	that	cst
his	his	appge
German-made	german-made	jj_nn1
rifles	rifle	nn2
were	be	vbdr
fitted	fit	vvn
with	with	iw
barrels	barrel	nn2
made	make	vvn
by	by	ii
a	a	at1
revolutionary	revolutionary	jj
process	process	nn1
known	know	vvn
as	as	ii
hammer	hammer	nn1
forging	forging	nn1_vvg
.	.	y
With	with	iw
the	the	at
process	process	nn1
also	also	rr
known	know	vvn
at	at	ii
the	the	at
time	time	nnt1
as	as	csa
roto-forging	roto-forging	jj_nn1
and	and	cc
cold	cold	jj_nn1
swaging	swaging	nn1@_vvg
,	,	y
I	i	ppis1
'm	be	vbm
inclined	inclined	jj
to	to	to
suspect	suspect	vvi
that	that	cst
the	the	at
name	name	nn1
"	"	y
hammer	hammer	nn1
forging	forging	nn1
"	"	y
was	be	vbdz
coined	coin	vvn
by	by	ii
Weatherby	weatherby	np1_nn1
himself	himself	ppx1
.	.	y
It	it	pph1
certainly	certainly	rr
bears	bear	vvz@
the	the	at
stamp	stamp	nn1
of	of	io
his	his	appge
"	"	y
he-man	he-man	jj_nn1
"	"	y
marketing	marketing	nn1
genius	genius	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
process	process	nn1
.	.	y
Here	here	rl
's	be	vbz
how	how	rrq
it	it	pph1
works	work	vvz
:	:	y
Imagine	imagine	vv0
that	that	cst
you	you	ppy
have	have	vh0
a	a	at1
piece	piece	nn1
of	of	io
modeling	model	vvg_nn1_jj@
clay	clay	nn1
about	about	ii
the	the	at
size	size	nn1
and	and	cc
shape	shape	nn1
of	of	io
a	a	at1
doughnut	doughnut	nn1
.	.	y
Put	put	vv0
this	this	dd1
doughnut	doughnut	nn1
over	over	ii_rp
a	a	at1
finger	finger	nn1
and	and	cc
begin	begin	vv0
to	to	to
kneed	kneed	vvi
and	and	cc
squeeze	squeeze	vvi
the	the	at
clay	clay	nn1
until	until	cs
it	it	pph1
forms	form	vvz
a	a	at1
tube	tube	nn1
covering	cover	vvg
the	the	at
length	length	nn1
of	of	io
the	the	at
finger	finger	nn1
.	.	y
Now	now	rt
withdraw	withdraw	vv0
your	your	appge
finger	finger	nn1
,	,	y
and	and	cc
you	you	ppy
'll	will	vm
get	get	vvi
a	a	at1
pretty	pretty	rg_jj
good	good	jj
idea	idea	nn1
of	of	io
how	how	rgq@_rrq
hammer-forged	hammer-forged	jj
barrels	barrel	nn2
are	be	vbr
made	make	vvn
--	--	x
not	not	xx
only	only	rr
have	have	vh0
the	the	at
external	external	jj
shape	shape	nn1
and	and	cc
dimensions	dimension	nn2
been	be	vbn
transformed	transform	vvn
,	,	y
but	but	ccb
the	the	at
