##5995		
20:00-21:00		mcmc
has	have	vhz
painted	paint	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
evidence	evidence	nn1
that	that	cst_dd1
,	,	y
looking	look	vvg
at	at	ii
it	it	pph1
from	from	ii
the	the	at
other	other	jj
side	side	nn1
,	,	y
a	a	at1
defense	defense	nn1
attorney	attorney	nn1
might	might	vm
be	be	vbi
able	able	jk
to	to	to
challenge	challenge	vvi
is	be	vbz
the	the	at
fact	fact	nn1
that	that	cst
the	the	at
pistol	pistol	nn1
that	that	cst_dd1
has	have	vhz
his	his	appge
DNA	dna	nn1
on	on	ii
the	the	at
grip	grip	nn1
was	be	vbdz
used	use	vvn
by	by	ii
him	him	ppho1
previously	previously	rr
for	for	if
target	target	nn1
shooting	shooting	nn1_vvg
.	.	y
So	so	rr
his	his	appge
lawyer	lawyer	nn1
could	could	vm
allege	allege	vvi
that	that	cst
his	his	appge
DNA	dna	nn1
got	get	vvn_vvd
on	on	ii
the	the	at
pistol	pistol	nn1
in	in	ii
a	a	at1
benign	benign	jj
or	or	cc
innocent	innocent	jj
way	way	nn1
.	.	y
And	and	cc
then	then	rt
the	the	at
stepfather	stepfather	nn1
also	also	rr
admits	admit	vvz
that	that	cst
he	he	pphs1
used	use	vvd
that	that	dd1_cst
pistol	pistol	nn1
the	the	at
day	day	nnt1
after	after	ii_cs
Entwistle	entwistle	np1_nn1
allegedly	allegedly	rr
killed	kill	vvd_vvn
Rachel	rachel	np1
and	and	cc
Lillian	lillian	np1
--		zz
baby	baby	nn1
Lillian	lillian	np1
for	for	if
target	target	nn1
practice	practice	nn1
.	.	y
So	so	rr
the	the	at
defense	defense	nn1
,	,	y
the	the	at
legal	legal	jj
aid	aid	nn1
attorney	attorney	nn1
that	that	cst_dd1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
the	the	at
state	state	nn1
will	will	vm
now	now	rt
be	be	vbi
paying	pay	vvg
for	for	if
his	his	appge
defense	defense	nn1
,	,	y
of	of	rr21
course	course	rr22
,	,	y
can	can	vm
allege	allege	vvi
that	that	cst
they	they	pphs2
have	have	vh0
contaminated	contaminate	vvn
the	the	at
DNA	dna	nn1
evidence	evidence	nn1
.	.	y
But	but	ccb
I	i	ppis1
think	think	vv0
there	there	ex_rl
's	be	vbz
so	so	rg
much	much	da1
more	more	dar
.	.	y
@(CROSSTALK)		zzc
O'REILLY	o'reilly	np1_rr
:	:	y
And	and	cc
they	they	pphs2
got	get	vvd
DNA	dna	nn1
Of	of	io
the	the	at
murdered	murdered	jj
wife	wife	nn1
,	,	y
as	as	rr21
well	well	rr22_rr
.	.	y
OK.	ok	rr
@!RIVERA		zzq
:	:	y
It	it	pph1
's	be	vbz
brain	brain	nn1
stuff	stuff	nn1
(	(	y
ph	ph	nn1
)		np1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
So	so	rr_cs@
we	we	ppis2
know	know	vv0
all	all	db_rr@
about	about	ii
this	this	dd1
guy	guy	nn1
now	now	rt
.	.	y
He	he	pphs1
's	be	vbz
back	back	rp_nn1
in	in	ii
the	the	at
USA	usa	np1
.	.	y
He	he	pphs1
goes	go	vvz
through	through	ii
the	the	at
process	process	nn1
.	.	y
Life	life	nn1
in	in	ii
prison	prison	nn1
in	in	ii
the	the	at
Bay	bay	nn1_jj@
State	state	nn1
.	.	y
You	you	ppy
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
's	be	vbz
probably	probably	rr
how	how	rrq
it	it	pph1
's	be	vbz
going	go	vvgk
to	to	to
play	play	vvi
out	out	rp
.	.	y
Now	now	rt
...	...	...
@!RIVERA		zzq
:	:	y
They	they	pphs2
would	would	vm
not	not	xx
have	have	vhi
extradited	extradit	vvn@
him	him	ppho1
from	from	ii
England	england	np1
.	.	y
You	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
hear	hear	vv0
some	some	dd
people	people	nn
saying	say	vvg
,	,	y
well	well	rr
,	,	y
maybe	maybe	rr
the	the	at
feds	fed	nn2
can	can	vm
charge	charge	vvi
him	him	ppho1
with	with	iw
capital	capital	nn1_jj@
murder	murder	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No.	no	zz
@!RIVERA		zzq
:	:	y
But	but	ccb
the	the	at
British	british	jj
authorities	authority	nn2
would	would	vm
never	never	rr
have	have	vhi
allowed	allow	vvn
him	him	ppho1
to	to	to
be	be	vbi
extradited	extradit	vvn@
to	to	ii
a	a	at1
country	country	nn1
where	where	rrq
the	the	at
death	death	nn1
penalty	penalty	nn1
was	be	vbdz
a	a	at1
possibility	possibility	nn1
.	.	y
So	so	rr
...	...	...
O'REILLY	o'reilly	np1
:	:	y
They	they	pphs2
do	do	vd0
n't	n't	xx
have	have	vhi
the	the	at
death	death	nn1
penalty	penalty	nn1
.	.	y
@!RIVERA		zzq
:	:	y
Maybe	maybe	rr
he	he	pphs1
'll	will	vm
commit	commit	vvi
suicide	suicide	nn1
.	.	y
Maybe	maybe	rr
now	now	rt
he	he	pphs1
'll	will	vm
follow	follow	vvi
through	through	rp@
on	on	ii
his	his	appge
promise	promise	nn1
to	to	to
commit	commit	vvi
suicide	suicide	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
.	.	y
Dick	dick	np1
Cheney	cheney	np1
.	.	y
So	so	rr
now	now	rt
,	,	y
I	i	ppis1
'm	be	vbm
going	go	vvgk
to	to	to
warn	warn	vvi
you	you	ppy
Geraldo	geraldo	np1
,	,	y
you	you	ppy
go	go	vv0
--		zz
you	you	ppy
have	have	vh0
a	a	at1
tendency	tendency	nn1
to	to	to
go	go	vvi
off	off	ii_rp
the	the	at
deep	deep	jj
end	end	nn1
on	on	ii
these	these	dd2
political	political	jj
stories	story	nn2
.	.	y
You	you	ppy
're	be	vbr
the	the	at
best	best	rrt_jjt
in	in	ii
the	the	at
world	world	nn1
at	at	ii
the	the	at
crime	crime	nn1
stories	story	nn2
,	,	y
but	but	ccb
once	once	rr_cs@
we	we	ppis2
get	get	vv0
into	into	ii
political	political	jj
stories	story	nn2
,	,	y
then	then	rt
you	you	ppy
just	just	rr
evaporate	evaporate	vv0
now	now	rt
.	.	y
Now	now	rt
OK	ok	rr
?	?	y
Dick	dick	np1
Cheney	cheney	np1
.	.	y
Go	go	vv0
.	.	y
@!RIVERA		zzq
:	:	y
Your	your	appge
audience	audience	nn1
is	be	vbz
ready	ready	jj
to	to	to
watch	watch	vvi
me	me	ppio1
go	go	vv0_nn1%
up	up	rp
in	in	ii
smoke	smoke	nn1
here	here	rl
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
know	know	vv0
kind	kind	nn1
of	of	io
what	what	ddq
you	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
say	say	vvi
and	and	cc
I	i	ppis1
'm	be	vbm
almost	almost	rr
pleading	plead	vvg
with	with	iw
you	you	ppy
to	to	to
not	not	xx
say	say	vvi
it	it	pph1
,	,	y
but	but	ccb
I	i	ppis1
know	know	vv0
you	you	ppy
're	be	vbr
Geraldo	geraldo	np1
and	and	cc
you	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
say	say	vvi
it	it	pph1
anyway	anyway	rr
.	.	y
Go	go	vv0
.	.	y
@!RIVERA		zzq
:	:	y
I	i	ppis1
believe	believe	vv0
that	that	cst
the	the	at
vice	vice	jj_nn1
president	president	nn1
and	and	cc
his	his	appge
staff	staff	nn
intentionally	intentionally	rr
covered	cover	vvn_vvd
up	up	rp_ii@
this	this	dd1
story	story	nn1
because	because	cs
they	they	pphs2
knew	know	vvd
what	what	ddq
a	a	at1
big	big	jj
deal	deal	nn1_vv0
it	it	pph1
was	be	vbdz
.	.	y
I	i	ppis1
want	want	vv0
you	you	ppy
to	to	to
picture	picture	vvi
yourself	yourself	ppx1
as	as	ii_csa
the	the	at
vice	vice	jj_nn1
president	president	nn1
.	.	y
Now	now	rt
it	it	pph1
's	be	vbz
Bill	bill	np1
O'Reilly	o'reilly	np1
or	or	cc
it	it	pph1
's	be	vbz
Geraldo	geraldo	np1
Rivera	rivera	np1
and	and	cc
go	go	vv0
hunting	hunting	nn1_vvg@
with	with	iw
their	their	appge
pals	pal	nn2
on	on	ii
Saturday	saturday	npd1
and	and	cc
we	we	ppis2
accidentally	accidentally	rr
shoot	shoot	vv0
our	our	appge
pals	pal	nn2
.	.	y
And	and	cc
then	then	rt
we	we	ppis2
keep	keep	vv0
it	it	pph1
quiet	quiet	jj
so	so	cs@_rr
it	it	pph1
does	do	vdz
n't	n't	xx
make	make	vvi
the	the	at
Sunday	sunday	npd1
morning	morning	nnt1
newspapers	newspaper	nn2
,	,	y
the	the	at
most	most	rrt@_rgt_dat
read	read	vvn_vv0
newspaper	newspaper	nn1
of	of	io
the	the	at
week	week	nnt1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Yes	yes	uh
.	.	y
@!RIVERA		zzq
:	:	y
Does	do	vdz
n't	n't	xx
make	make	vvi
"	"	y
Meet	meet	vv0
the	the	at
Press	press	nn1
"	"	y
or	or	cc
Brit	brit	nn1
Hume	hume	np
's	's	ge
fine	fine	jj
FOX	fox	nn1
show	show	nn1_vv0
on	on	ii
Sunday	sunday	npd1
morning	morning	nnt1
.	.	y
It	it	pph1
goes	go	vvz
until	until	cs
finally	finally	rr
they	they	pphs2
have	have	vh0
so	so	rg
much	much	da1
pressure	pressure	nn1
,	,	y
18	18	mc
hours	hour	nnt2
later	later	rrr
,	,	y
my	my	appge
goodness	goodness	nn1
,	,	y
if	if	cs_csw@
this	this	dd1
thing	thing	nn1
is	be	vbz
going	go	vvgk
to	to	to
get	get	vvi
out	out	rp
,	,	y
the	the	at
cover-up	cover-up	nn1
story	story	nn1
,	,	y
as	as	csa_rg@
always	always	rr
,	,	y
will	will	vm
be	be	vbi
larger	large	jjr
than	than	csn
the	the	at
...	...	...
O'REILLY	o'reilly	np1
:	:	y
There	there	ex
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
@!RIVERA		zzq
:	:	y
I	i	ppis1
think	think	vv0
they	they	pphs2
are	be	vbr
one	one	mc1_pn1
and	and	cc
the	the	at
same	same	da
.	.	y
I	i	ppis1
think	think	vv0
that	that	cst
when	when	cs
you	you	ppy
are	be	vbr
the	the	at
vice	vice	jj_nn1
president	president	nn1
,	,	y
you	you	ppy
let	let	vv0
it	it	pph1
go	go	vvi
for	for	if
18	18	mc
hours	hour	nnt2
--		zz
if	if	cs
Ted	ted	np1
Kennedy	kennedy	np1
,	,	y
after	after	cs_ii
Chappaquiddick	chappaquiddick	np1_nn1
,	,	y
and	and	cc
instead	instead	ii21
of	of	ii22
running	run	vvg_nn1
away	away	ii21_rl
from	from	ii22_ii
that	that	dd1
also	also	rr
accident	accident	nn1
,	,	y
had	have	vhd
gone	go	vvn
to	to	ii
the	the	at
authorities	authority	nn2
or	or	cc
gone	go	vvn
to	to	ii
someone	someone	pn1
,	,	y
"	"	y
Help	help	vv0
me	me	ppio1
,	,	y
help	help	vv0
me	me	ppio1
.	.	y
You	you	ppy
've	have	vh0
got	get	vvn
to	to	to
rescue	rescue	vvi
this	this	dd1
woman	woman	nn1
.	.	y
"	"	y
Or	or	cc
if	if	cs_csw@
Bill	bill	np1
Clinton	clinton	np1
had	have	vhd
,	,	y
"	"	y
Oh	oh	uh
,	,	y
my	my	appge
God	god	np1
,	,	y
I	i	ppis1
had	have	vhd
this	this	dd1_rg%
terrible	terrible	jj
incident	incident	nn1
.	.	y
And	and	cc
I	i	ppis1
lost	lose	vvd
control	control	nn1
and	and	cc
I	i	ppis1
had	have	vhd
oral	oral	jj
sex	sex	nn1
with	with	iw
this	this	dd1
woman	woman	nn1
in	in	ii
the	the	at
Oval	oval	jj_nn1
Office	office	nn1
.	.	y
"	"	y
If	if	cs
they	they	pphs2
had	have	vhd
fessed	fess	vvn
up	up	rp
in	in	ii
both	both	db2
cases	case	nn2
,	,	y
their	their	appge
political	political	jj
lives	life	nn2
would	would	vm
not	not	xx
have	have	vhi
been	be	vbn
destroyed	destroy	vvn
.	.	y
I	i	ppis1
believe	believe	vv0
...	...	...
@(CROSSTALK)		zzc
O'REILLY	o'reilly	np1_rr
:	:	y
I	i	ppis1
disagree	disagree	vv0
with	with	iw
you	you	ppy
on	on	ii
both	both	db2
of	of	io
those	those	dd2
.	.	y
But	but	ccb
you	you	ppy
ca	can	vm
n't	n't	xx
compare	compare	vvi
quail	quail	nn
hunting	hunting	nn1_vvg@
...	...	...
@!RIVERA		zzq
:	:	y
This	this	dd1
will	will	vm
haunt	haunt	vvi
the	the	at
vice	vice	jj_nn1
president	president	nn1
for	for	if
the	the	at
rest	rest	nn1
of	of	io
his	his	appge
life	life	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Geraldo	geraldo	np1
,	,	y
you	you	ppy
ca	can	vm
n't	n't	xx
compare	compare	vvi
a	a	at1
quail	quail	nn
hunting	hunting	nn1_vvg@
accident	accident	nn1
,	,	y
which	which	ddq
at	at	ii
first	first	md
looks	look	vvz
like	like	ii_cs@
just	just	rr
a	a	at1
bunch	bunch	nn1
of	of	io
bruises	bruise	nn2
...	...	...
@!RIVERA		zzq
:	:	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
No	no	uh
,	,	y
with	with	iw
Chappaquiddick	chappaquiddick	np1_nn1
.	.	y
Come	come	vv0
on	on	rp
.	.	y
@!RIVERA		zzq
:	:	y
I	i	ppis1
think	think	vv0
it	it	pph1
was	be	vbdz
a	a	at1
driving	driving	jj
accident	accident	nn1
.	.	y
It	it	pph1
was	be	vbdz
a	a	at1
driving	driving	jj
accident	accident	nn1
,	,	y
Bill	bill	np1_nn1
.	.	y
That	that	dd1
's	be	vbz
what	what	ddq
it	it	pph1
was	be	vbdz
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Yes	yes	uh
.	.	y
@!RIVERA		zzq
:	:	y
We	we	ppis2
forget	forget	vv0
.	.	y
Ted	ted	np1
Kennedy	kennedy	np1
did	do	vdd
n't	n't	xx
mean	mean	vvi
to	to	to
ditch	ditch	vvi
the	the	at
lady	lady	nn1
in	in	ii
Martha	martha	np1
's	's	ge
Vineyard	vineyard	nn1
...	...	...
O'REILLY	o'reilly	np1
:	:	y
No	no	uh
.	.	y
He	he	pphs1
was	be	vbdz
intoxicated	intoxicate	vvn@_jj@
and	and	cc
he	he	pphs1
got	get	vvd
--		nn1_jj
he	he	pphs1
saved	save	vvd
himself	himself	ppx1
and	and	cc
the	the	at
poor	poor	jj
girl	girl	nn1
drowned	drown	vvd_vvn
.	.	y
That	that	dd1
's	be	vbz
what	what	ddq
happened	happen	vvd
.	.	y
@!RIVERA		zzq
:	:	y
He	he	pphs1
...	...	...
O'REILLY	o'reilly	np1
:	:	y
That	that	dd1
's	be	vbz
a	a	rr21@
lot	lot	rr22
different	different	jj
than	than	csn
a	a	at1
quail	quail	nn
accident	accident	nn1
,	,	y
Geraldo	geraldo	np1
.	.	y
I	i	ppis1
've	have	vh0
got	get	vvn
break	break	vv0_nn1
it	it	pph1
to	to	ii
you	you	ppy
.	.	y
@!RIVERA		zzq
;		np1
-I----this-#		fo
O'REILLY	o'reilly	np1
:	:	y
He	he	pphs1
's	be	vbz
not	not	xx
going	go	vvgk
to	to	to
die	die	vvi
,	,	y
Geraldo.	geraldo	np1
@!RIVERA		zzq
:	:	y
This	this	dd1
is	be	vbz
very	very	rg_jj@
,	,	y
very	very	rg
serious	serious	jj
.	.	y
You	you	ppy
ca	can	vm
n't	n't	xx
minimize	minimize	vvi
what	what	ddq
happened	happen	vvd
.	.	y
As	as	cs31
soon	soon	cs32
as	as	cs33
that	that	dd1
man	man	nn1
fell	fall	vvd
that	that	cst
became	become	vvd
international	international	jj
news	news	nn1
.	.	y
The	the	at
vice	vice	jj_nn1
president	president	nn1
should	should	vm
have	have	vhi
fessed	fess	vvn
up	up	rp
.	.	y
O'REILLY	o'reilly	np1
:	:	y
I	i	ppis1
agree	agree	vv0
with	with	iw
you	you	ppy
there	there	rl
.	.	y
I	i	ppis1
agree	agree	vv0
...	...	...
@!RIVERA		zzq
:	:	y
And	and	cc
all	all	db_rr@
he	he	pphs1
did	do	vdd
was	be	vbdz
to	to	to
support	support	vvi
all	all	db
of	of	io
those	those	dd2
people	people	nn
who	who	pnqs
believe	believe	vv0
that	that	cst
he	he	pphs1
's	be	vbz
Darth	darth	np1
Vader	vader	np1
of	of	io
secrecy	secrecy	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
have	have	vhi
come	come	vvn
right	right	rr
out	out	rp
and	and	cc
said	say	vvd
...	...	...
@(CROSSTALK)		zzc
O'REILLY	o'reilly	np1_rr
:	:	y
"	"	y
Here	here	rl
's	be	vbz
what	what	ddq
happened	happen	vvd
.	.	y
"	"	y
But	but	ccb
it	it	pph1
has	have	vhz
no	no	at
comparison	comparison	nn1
to	to	ii
Chappaquiddick	chappaquiddick	np1_nn1
or	or	cc
even	even	rr
the	the	at
Lewinsky	lewinsky	jj@_np1
situation	situation	nn1
.	.	y
Geraldo	geraldo	np1
Rivera	rivera	np1
,	,	y
everybody	everybody	pn1
,	,	y
there	there	rl
he	he	pphs1
goes	go	vvz
.	.	y
Never	never	rr
boring	boring	jj
,	,	y
never	never	rr
boring	boring	jj_vvg@
.	.	y
Moments	moment	nn2
away	away	rl
,	,	y
"	"	y
Bloviating	bloviating	vvg
with	with	iw
Bill	bill	np1_nn1
.	.	y
"	"	y
We	we	ppis2
found	find	vvd
an	a	at1
everyday	everyday	jj
American	american	nn1@
who	who	pnqs
likes	like	vvz
the	the	at
ACLU	aclu	nn1_np1
.	.	y
Uh-oh	uh-oh	uh
.	.	y
That	that	dd1
's	be	vbz_ge
next	next	md
.	.	y
@(COMMERCIAL-BREAK)		zzc
##6298		
@!SNOW		zzq
:	:	y
Thanks	thanks	nn2
for	for	if
staying	stay	vvg
with	with	iw
us	us	ppio2
.	.	y
I	i	ppis1
'm	be	vbm
Tony	tony	np1
Snow	snow	np1
in	in	rp@_ii
for	for	if
Bill	bill	np1
O'Reilly	o'reilly	np1
.	.	y
In	in	ii
the	the	at
"	"	y
Factor	factor	nn1
Flashback	flashback	nn1_np1
"	"	y
segment	segment	nn1
tonight	tonight	rt
,	,	y
why	why	rrq
is	be	vbz
the	the	at
left	left	jj_nn1@
having	have	vhg
a	a	at1
hard	hard	jj
time	time	nnt1
getting	get	vvg
traction	traction	nn1
,	,	y
despite	despite	ii
the	the	at
Bush	bush	np1
administration	administration	nn1
being	be	vbg
beset	beset	vvn
with	with	iw
difficult	difficult	jj
problems	problem	nn2
?	?	y
Bill	bill	np1_nn1
recently	recently	rr
posed	pose	vvd
the	the	at
question	question	nn1
to	to	ii
two	two	mc
committed	committed	jj
liberal	liberal	jj
Democrats	democrat	nn2
who	who	pnqs
say	say	vv0
they	they	pphs2
have	have	vh0
the	the	at
formula	formula	nn1
to	to	to
reignite	reignite	vvi
the	the	at
Democratic	democratic	jj
Party	party	nn1
.	.	y
James	james	np1
Carville	carville	np1
and	and	cc
Paul	paul	np1
Begala	begala	np1
are	be	vbr
co-authors	co-author	nn2
of	of	io
the	the	at
book	book	nn1
"	"	y
Take	take	vv0
it	it	pph1
Back	back	rp
:	:	y
Our	our	appge
Party	party	nn1
,	,	y
Our	our	appge
Country	country	nn1
,	,	y
Our	our	appge
Future	future	nn1_jj
.	.	y
"	"	y
@(BEGIN-VIDEOTAPE)		zzc
@!BILL-O'REILLY-HOS		zzq
:	:	y
OK	ok	rr
.	.	y
The	the	at
war	war	nn1
on	on	ii
terror	terror	nn1
,	,	y
Mr.	mr	nnb
Carville	carville	np1
,	,	y
all	all	db
polls	poll	nn2
show	show	vv0
Republicans	republican	nn2
still	still	rr
are	be	vbr
showing	show	vvg
a	a	at1
wide	wide	jj
margin	margin	nn1
of	of	io
acceptance	acceptance	nn1
over	over	ii
the	the	at
Democrats	democrat	nn2
.	.	y
What	what	ddq
do	do	vd0
Democrats	democrat	nn2
have	have	vhi
to	to	to
do	do	vdi
to	to	to
convince	convince	vvi
Americans	american	nn2
they	they	pphs2
are	be	vbr
terror	terror	nn1
warriors	warrior	nn2
?	?	y
@!JAMES-CARVILLE-CO		zzq
:	:	y
Well	well	rr
,	,	y
first	first	md
of	of	io
all	all	db
,	,	y
I	i	ppis1
think	think	vv0
the	the	at
Democrats	democrat	nn2
have	have	vh0
done	do	vdn
--		zz
have	have	vh0
done	do	vdn
pretty	pretty	rg
good	good	jj
.	.	y
Whether	whether	csw31
or	or	csw32
not	not	csw33
they	they	pphs2
'll	will	vm
ever	ever	rr
get	get	vvi
to	to	ii
parity	parity	nn1
with	with	iw
the	the	at
Republicans	republican	nn2
on	on	ii
the	the	at
war	war	nn1
on	on	ii
terror	terror	nn1
,	,	y
is	be	vbz
quite	quite	rg_rr@
another	another	dd1
question	question	nn1
.	.	y
But	but	ccb
it	it	pph1
's	be	vbz
the	the	at
difference	difference	nn1
between	between	ii
30	30	mc
points	point	nn2_vvz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
:	:	y
You	you	ppy
're	be	vbr
about	about	rg
15	15	mc
points	point	nn2_vvz
behind	behind	rl@
.	.	y
@!CARVILLE		zzq
:	:	y
That	that	dd1
's	be	vbz
--		zz
that	that	cst_dd1
's	be	vbz
within	within	ii
a	a	at1
range	range	nn1
.	.	y
I	i	ppis1
think	think	vv0
if	if	csw@_cs
they	they	pphs2
cut	cut	vv0
that	that	cst_dd1
to	to	ii
10	10	mc
that	that	dd1
's	be	vbz
fine	fine	jj
.	.	y
But	but	ccb
there	there	ex
are	be	vbr
some	some	dd
issues	issue	nn2
that	that	cst
they	they	pphs2
're	be	vbr
going	go	vvgk
to	to	to
be	be	vbi
way	way	nn1_rr%
ahead	ahead	ii21
of	of	ii22
Republicans	republican	nn2
on	on	rp@_ii
.	.	y
So	so	rr
...	...	...
O'REILLY	o'reilly	np1
:	:	y
Let	let	vm21
's	be	vm22
stay	stay	vvi
with	with	iw
terror	terror	nn1
.	.	y
What	what	ddq
would	would	vm
you	you	ppy
recommend	recommend	vvi
the	the	at
next	next	md
president	president	nn1
who	who	pnqs
run	run	vv0
--		nn1_jj
the	the	at
next	next	md
candidate	candidate	nn1
...	...	...
@!CARVILLE		zzq
:	:	y
First	first	md
of	of	io
all	all	db
,	,	y
Democrats	democrat	nn2
should	should	vm
correctly	correctly	rr
point	point	vvi
out	out	rp
that	that	cst
they	they	pphs2
were	be	vbdr
the	the	at
first	first	md
people	people	nn
to	to	to
advocate	advocate	vvi
the	the	at
Department	department	nn1
of	of	io
Homeland	homeland	nn1
Security	security	nn1
,	,	y
which	which	ddq
President	president	nnb
Bush	bush	np1
fought	fight	vvd
.	.	y
Secondly	secondly	rr
,	,	y
the	the	at
Democrats	democrat	nn2
have	have	vh0
been	be	vbn
very	very	rg
more	more	rgr
active	active	jj
in	in	ii
security	security	nn1
,	,	y
in	in	ii
port	port	nn1
protection	protection	nn1
and	and	cc
things	thing	nn2
like	like	ii
that	that	dd1
.	.	y
Third	third	md
,	,	y
the	the	at
Democrats	democrat	nn2
--		nn1_jj
and	and	cc
most	most	dat
Americans	american	nn2
believe	believe	vv0
that	that	cst
America	america	np1
is	be	vbz
stronger	strong	jjr
,	,	y
it	it	pph1
fights	fight	vvz
terror	terror	nn1
better	better	rrr
,	,	y
when	when	cs_rrq
it	it	pph1
cooperates	cooperate	vvz
with	with	iw
other	other	jj
countries	country	nn2
as	as	ii31
opposed	opposed	ii32
to	to	ii33
acting	act	vvg
unilaterally	unilaterally	rr
as	as	csa
this	this	dd1
administration	administration	nn1
has	have	vhz
done	do	vdn
.	.	y
O'REILLY	o'reilly	np1
:	:	y
But	but	ccb
that	that	dd1
was	be	vbdz
a	a	at1
loser	loser	nn1
for	for	if
John	john	np1
Kerry	kerry	np1
.	.	y
@!CARVILLE		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
it	it	pph1
was	be	vbdz
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
that	that	dd1_cst
was	be	vbdz
the	the	at
reason	reason	nn1
Kerry	kerry	np1
lost	lose	vvd
at	at	rr21
all	all	rr22
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
have	have	vh0
to	to	to
cooperate	cooperate	vvi
with	with	iw
other	other	jj
countries	country	nn2
and	and	cc
this	this	dd1
,	,	y
that	that	dd1
and	and	cc
the	the	at
other	other	jj
thing	thing	nn1
.	.	y
And	and	cc
obviously	obviously	rr
,	,	y
people	people	nn
did	do	vdd
n't	n't	xx
buy	buy	vvi
it	it	pph1
.	.	y
@!PAUL-BEGALA-CO-AU		zzq
:	:	y
You	you	ppy
know	know	vv0
what	what	ddq
else	else	rr
he	he	pphs1
said	say	vvd
,	,	y
in	in	ii
fact	fact	nn1
?	?	y
In	in	ii
the	the	at
book	book	nn1
,	,	y
we	we	ppis2
call	call	vv0
it	it	pph1
John	john	np1
Kerry	kerry	np1
's	's	ge
finest	fine	jjt
hour	hour	nnt1
.	.	y
He	he	pphs1
went	go	vvd
right	right	rr_nn1_jj
at	at	ii
President	president	nnb
Bush	bush	np1
for	for	if
wimping	wimp	vvg
out	out	rp
at	at	ii
Tora	tora	np1
Bora	bora	np1
.	.	y
We	we	ppis2
had	have	vhd
bin	bin	np
Laden	laden	vvn_jj
,	,	y
this	this	dd1
murderous	murderous	jj
animal	animal	nn1
,	,	y
cornered	corner	vvd_vvn@
at	at	ii
Tora	tora	np1
Bora	bora	np1
.	.	y
We	we	ppis2
had	have	vhd
the	the	at
10th	10th	md
Mountain	mountain	nn1
Division	division	nn1
,	,	y
the	the	at
most	most	rgt
legendary	legendary	jj
mountain	mountain	nn1
fighters	fighter	nn2
in	in	ii
the	the	at
world	world	nn1
,	,	y
and	and	cc
Bush	bush	np1
wimped	wimped	vvd
out	out	rp
.	.	y
And	and	cc
Kerry	kerry	np1
called	call	vvd
him	him	ppho1
