##2000850		
OPPOSITE	opposite	jj_nn1@_rl@
1960	1960	mc
Ray	ray	np1
Bergman	bergman	np1
had	have	vhd
been	be	vbn
the	the	at
magazine	magazine	nn1
's	's	ge
"	"	y
Angling	angling	nn1
Editor	editor	nn1
"	"	y
for	for	if
26	26	mc
years	year	nnt2
,	,	y
and	and	cc
a	a	at1
contributor	contributor	nn1
for	for	if
38	38	mc
years	year	nnt2
,	,	y
when	when	cs_rrq
he	he	pphs1
made	make	vvd
the	the	at
decision	decision	nn1
to	to	to
retire	retire	vvi
from	from	ii
the	the	at
monthly	monthly	jj
deadline	deadline	nn1
grind	grind	nn1_vv0
in	in	ii
1960	1960	mc
.	.	y
"	"	y
All	all	db
my	my	appge
writing	writing	nn1
has	have	vhz
followed	follow	vvn
the	the	at
same	same	da
basic	basic	jj
concept	concept	nn1
,	,	y
"	"	y
he	he	pphs1
wrote	write	vvd
in	in	ii_rp@
his	his	appge
final	final	jj_nn1
column	column	nn1
,	,	y
"	"	y
to	to	to
give	give	vvi
the	the	at
reader	reader	nn1
factual	factual	jj
information	information	nn1
gained	gain	vvn_vvd
and	and	cc
tested	test	vvn
by	by	ii
my	my	appge
own	own	da
practical	practical	jj
experience	experience	nn1
,	,	y
and	and	cc
to	to	to
make	make	vvi
it	it	pph1
as	as	rg
interesting	interesting	jj
as	as	csa
my	my	appge
writing	writing	nn1
ability	ability	nn1
would	would	vm
allow	allow	vvi
.	.	y
"	"	y
Such	such	da
humility	humility	nn1
was	be	vbdz
n't	n't	xx
pulled	pull	vvn
out	out	ii21
of	of	ii22
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst
rewarded	reward	vvd
chest-pounding	chest-pounding	jj
prose	prose	nn1
,	,	y
those	those	dd2
who	who	pnqs
knew	know	vvd
Bergman-author	bergman-author	nn1_jj
of	of	io
Trout	trout	nn
,	,	y
the	the	at
indispensable	indispensable	jj
classic	classic	nn1
of	of	io
the	the	at
field-called	field-called	nn1_jj
him	him	ppho1
the	the	at
humblest	humble	jjt
man	man	nn1
they	they	pphs2
'd	have	vhd_vm
ever	ever	rr
met.	met	nnu
//	//	x
I	i	ppis1
electrified	electrify	vvd
the	the	at
customs	custom	nn2
official	official	nn1_jj
by	by	ii
telling	tell	vvg
him	him	ppho1
I	i	ppis1
had	have	vhd
my	my	appge
rifle	rifle	nn1
with	with	iw
me	me	ppio1
.	.	y
Then	then	rt
an	a	at1
Intourist	intourist	jj_nn1
man	man	nn1
explained	explain	vvd_vvn
the	the	at
situation	situation	nn1
.	.	y
-	-	-
"	"	y
I	i	ppis1
Hunted	hunt	vvd
in	in	ii
Russia	russia	np1
,	,	y
"	"	y
by	by	ii
Irene	irene	np1
Morden	morden	np1
Photograph	photograph	nn1_vv0@
A	a	zz1
1959	1959	mc
motorboat	motorboat	nn1
roundup	roundup	nn1
illustrated	illustrate	vvd_vvn
the	the	at
evolving	evolving	jj@
market	market	nn1
(	(	y
from	from	ii
left	left	jj_nn1@
)	)	y
:	:	y
the	the	at
wooden	wooden	jj
Old	old	jj
Town	town	nn1
Lapstrake	lapstrake	np1_nn1@
,	,	y
the	the	at
fiberglass	fiberglass	nn1
Blue	blue	jj_nn1@
Star	star	nn1
Sarasota	sarasota	np1_nn1@
and	and	cc
the	the	at
Benson	benson	np1
Gyro-Boat	gyro-boat	np1
,	,	y
"	"	y
which	which	ddq
becomes	become	vvz
airborne	airborne	jj
when	when	cs
towed	tow	vvn
.	.	y
"	"	y
//	//	x
Some	some	dd
of	of	io
you	you	ppy
may	may	vm
wonder	wonder	vvi
what	what	ddq
I	i	ppis1
'm	be	vbm
going	go	vvgk
to	to	to
do	do	vdi
now	now	cs21
that	that	cs22
Ize	ize	np1
resigned	resign	vvd
from	from	ii
Outdoor	outdoor	jj
Life	life	nn1
.	.	y
Candidly	candidly	rr_np1@
,	,	y
I	i	ppis1
'm	be	vbm
going	go	vvgk
to	to	to
rest	rest	vvi
and	and	cc
do	do	vdi
nothing	nothing	pn1
except	except	cs_ii
exactly	exactly	rr
what	what	ddq
I	i	ppis1
feel	feel	vv0
like	like	ii
doing	do	vdg
.	.	y
What	what	ddq
I	i	ppis1
feel	feel	vv0
like	like	ii
doing	do	vdg
is	be	vbz
some	some	dd
more	more	dar
fishing	fishing	nn1
in	in	ii
a	a	at1
lazy	lazy	jj
,	,	y
indolent	indolent	jj
way	way	nn1
.	.	y
-	-	-
"	"	y
Ray	ray	np1
Bergman	bergman	np1
Says	say	vvz
Goodbye	goodbye	uh
,	,	y
"	"	y
by	by	ii
Ray	ray	np1
Bergman	bergman	np1
MULEY	muley	np1_nn1
AT	at	ii
THE	the	at
METER	meter	nn1
NOVEMBER	november	npm1
1960	1960	mc
As	as	csa_ii@
America	america	np1
's	's	ge
suburbs	suburb	nn2
spilled	spill	vvn_vvd
into	into	ii
the	the	at
countryside	countryside	nn1
,	,	y
incongruent	incongruent	jj
scenes	scene	nn2
like	like	ii
this	this	dd1
one	one	pn1
(	(	y
below	below	rl
)	)	y
of	of	io
a	a	at1
mule	mule	nn1
deer	deer	nn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
MCMANUS	mcmanus	np1
AUGUST	august	npm1
1960	1960	mc
Despite	despite	ii
the	the	at
magazine	magazine	nn1
's	's	ge
emphasis	emphasis	nn1
on	on	ii
adventure	adventure	nn1
and	and	cc
how-to	how-to	jj
stories	story	nn2
,	,	y
when	when	cs_rrq
the	the	at
editors	editor	nn2
could	could	vm
find	find	vvi
it	it	pph1
,	,	y
humor	humor	nn1
was	be	vbdz
welcome	welcome	jj_nn1
.	.	y
In	in	ii
this	this	dd1
instance	instance	nn1
,	,	y
Robert	robert	np1
Traver	traver	np1
(	(	y
aka	aka	nn1
John	john	np1
Voekler	voekler	np1
)	)	y
,	,	y
author	author	nn1
of	of	io
Anatomy	anatomy	nn1
of	of	io
a	a	at1
Murder	murder	nn1
and	and	cc
an	a	at1
avid	avid	jj
flyfisherman	fly-fisherman	nn1
,	,	y
got	get	vvd_vvn
the	the	at
nod	nod	nn1
.	.	y
"	"	y
Nice	nice	jj
job	job	nn1
of	of	io
fishin	fishin	nn1
'	'	ge
,	,	y
"	"	y
I	i	ppis1
said	say	vvd
,	,	y
with	with	iw
all	all	db
the	the	at
foolhardy	foolhardy	jj
aplomb	aplomb	nn1
of	of	io
the	the	at
winner	winner	nn1
of	of	io
a	a	at1
local	local	jj
dance	dance	nn1
marathon	marathon	nn1
undertaking	undertake	vvg_nn1
to	to	to
compliment	compliment	vvi
Nijinsky	nijinsky	np1
.	.	y
He	he	pphs1
glanced	glance	vvd
quickly	quickly	rr
up	up	rp
at	at	ii
me-one	me-one	mc
keen	keen	jj
,	,	y
appraising	appraise	vvg
,	,	y
wrinkled	wrinkled	jj
glance-and	glance	cc
then	then	rt
away	away	rl
,	,	y
as	as	cs21
though	though	cs22
I	i	ppis1
were	be	vbdr
a	a	at1
squirrel	squirrel	nn1
scolding	scold	vvg_nn1@
and	and	cc
chattering	chatter	vvg_nn1_jj
on	on	ii_rp@
a	a	at1
bough	bough	nn1
.	.	y
"	"	y
Hm	hm	uh
,	,	y
"	"	y
he	he	pphs1
sniffed	sniff	vvd
.	.	y
That	that	dd1
was	be	vbdz
all	all	db_rr@
;	;	y
just	just	rr
"	"	y
bm	bm	nnu
.	.	y
"	"	y
"	"	y
Would	would	vm
n't	n't	xx
it	it	pph1
be	be	vbi
easier	easy	jjr
,	,	y
"	"	y
I	i	ppis1
said	say	vvd
,	,	y
still	still	rr
filled	fill	vvn_vvd
with	with	iw
concern	concern	nn1
and	and	cc
still	still	rr
determined	determine	vvn_jj
to	to	to
take	take	vvi
the	the	at
fatal	fatal	jj
plunge	plunge	nn1
,	,	y
"	"	y
would	would	vm
n't	n't	xx
it	it	pph1
be	be	vbi
easier	easy	rrr_jjr
if	if	cs
you	you	ppy
fished	fish	vvd_vvn
downstream	downstream	rl
?	?	y
"	"	y
The	the	at
effect	effect	nn1
of	of	io
this	this	dd1
remark	remark	nn1
was	be	vbdz
as	as	cs21
though	though	cs22
I	i	ppis1
had	have	vhd
deliberately	deliberately	rr
impaled	impale	vvn
the	the	at
old	old	jj
man	man	nn1
with	with	iw
my	my	appge
fly	fly	nn1
or	or	cc
thrown	throw	vvn
a	a	at1
rock	rock	nn1
at	at	ii
his	his	appge
rising	rising	jj@_nn1@_vvg
trout	trout	nn
.	.	y
His	his	appge
whole	whole	jj
body	body	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
still	still	rr
and	and	cc
sighted	sight	vvd
me	me	ppio1
through	through	ii
his	his	appge
glasses	glass	nn2
,	,	y
adjusting	adjust	vvg
them	them	ppho2
,	,	y
as	as	cs21
though	though	cs22
at	at	rr21
last	last	rr22
discovering	discover	vvg
that	that	cst
I	i	ppis1
was	be	vbdz
not	not	xx
a	a	at1
foolish	foolish	jj
squirrel	squirrel	nn1
but	but	ccb
rather	rather	rr@_rg
some	some	dd
new	new	jj
species	species	nn
of	of	io
buzzing	buzzing	jj_vvg
and	and	cc
pestiferous	pestiferous	jj
insect	insect	nn1
.	.	y
"	"	y
Harrumph	harrumph	nn1_np1@
,	,	y
"	"	y
he	he	pphs1
snorted	snort	vvd
.	.	y
"	"	y
Listen	listen	vv0
,	,	y
young	young	jj
fella	fella	nn1
,	,	y
"	"	y
he	he	pphs1
said	say	vvd
,	,	y
"	"	y
I	i	ppis1
'd	have	vm
sooner	soon	rrr
sit	sit	vvi
on	on	ii_rp@
my	my	appge
prat	prat	nn1
on	on	ii
the	the	at
public	public	jj_nn1
dock	dock	nn1
at	at	ii
Lake	lake	nnl1
Michigamme	michigamme	np1
and	and	cc
plunk	plunk	vv0_nn1
night	night	nnt1
crawlers	crawler	nn2
for	for	if
bass	bass	jj_nn1
than	than	csn
ever	ever	rr
fish	fish	vv0@
a	a	at1
wet	wet	jj
fly	fly	nn1
!	!	y
"	"	y
Thus	thus	rr
shriveled	shrivel	vvd_vvn@
,	,	y
I	i	ppis1
sat	sit	vvd
there	there	rl
red	red	nn1_jj
faced	face	vvn_vvd
and	and	cc
watched	watch	vvn
him	him	ppho1
teeter	teeter	vv0
and	and	cc
struggle	struggle	nn1_vv0@
out	out	ii21
of	of	ii22
sight	sight	nn1
around	around	ii
the	the	at
bend	bend	nn1
above	above	rl
.	.	y
On	on	ii
the	the	at
way	way	nn1
,	,	y
he	he	pphs1
paused	pause	vvd
and	and	cc
took	take	vvd
two	two	mc
more	more	dar_rgr
lovely	lovely	jj
trout	trout	nn
.	.	y
-	-	-
"	"	y
Easy	easy	rr@_jj
Does	do	vdz
It	it	pph1
,	,	y
"	"	y
by	by	ii
Robert	robert	np1
Traver	traver	vv0_np1
THE	the	at
.270	.270	mc
,	,	y
AGAIN	again	rt
SEPTEMBER	september	npm1
1962	1962	mc
Defending	defend	vvg
his	his	appge
favorite	favorite	jj_nn1
caliber	caliber	nn1
was	be	vbdz
a	a	at1
role	role	nn1
Jack	jack	np1
O'Connor	o'connor	np1
never	never	rr
took	take	vvd
lightly	lightly	rr
.	.	y
But	but	ccb
by	by	ii
the	the	at
1960s	1960s	mc2
it	it	pph1
was	be	vbdz
becoming	become	vvg
clear	clear	jj
that	that	cst
his	his	appge
patience	patience	nn1
with	with	iw
detractors	detractor	nn2
had	have	vhd
grown	grow	vvn
veneer-thin	veneer-thin	jj
.	.	y
Question	question	nn1_vv0@
:	:	y
I	i	ppis1
say	say	vv0
the	the	at
.280	.280	mc
Remington	remington	np1
is	be	vbz
better	better	jjr_rrr
than	than	csn
the	the	at
.270	.270	mc
in	in	ii
knock-down	knock-down	jj
power	power	nn1
.	.	y
Am	be	vb0
I	i	ppis1
right	right	rr_vv0%
?	?	y
-Thomas	-thomas	np1
F.	f	np1
Bella	bella	np1
,	,	y
Wis	wis	np1
.	.	y
Answer	answer	vv0_nn1
:	:	y
If	if	cs
you	you	ppy
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
.270	.270	mc
in	in	ii
knock-down	knock-down	jj
power	power	nn1
,	,	y
I	i	ppis1
'll	will	vm
eat	eat	vvi
your	your	appge
.280	.280	mc
from	from	ii
buttplate	buttplate	nn1
to	to	ii
muzzle	muzzle	nn1
with	with	iw
only	only	rr
a	a	at1
pinch	pinch	nn1
.	.	y
of	of	io
salt	salt	nn1
.	.	y
-	-	-
"	"	y
Shooters	shooters	np1
'	'	ge
Problems	problem	nn2
,	,	y
"	"	y
by	by	ii
Jack	jack	np1
O'Connor	o'connor	np1
CHARLIE	charlie	np1
'S	's	ge
GALL	gall	nn1_vv0
AUGUST	august	npm1
1962	1962	mc
Propelled	propel	vvd_vvn
by	by	ii
a	a	at1
population	population	nn1
explosion	explosion	nn1
,	,	y
higher	high	jjr
wages	wage	nn2
and	and	cc
increasing	increasing	jj_vvg
leisure	leisure	nn1
time	time	nnt1
,	,	y
the	the	at
army	army	nn1
of	of	io
hunters	hunter	nn2
burgeoned	burgeon	vvd_vvn
,	,	y
and	and	cc
an	a	at1
unsavory	unsavory	jj_nn1
element	element	nn1
crept	creep	vvd_vvn@
into	into	ii
the	the	at
woods	wood	nn2
along	along	ii21
with	with	ii22
dedicated	dedicated	jj
sportsmen	sportsman	nn2
.	.	y
The	the	at
magazine	magazine	nn1
took	take	vvd
an	a	at1
unblinking	unblinking	jj@_nn1@
look	look	nn1
at	at	ii
this	this	dd1
development	development	nn1
when	when	cs_rrq
it	it	pph1
highlighted	highlight	vvd
a	a	at1
series	series	nn
of	of	io
disturbing	disturbing	jj
experiences	experience	nn2
.	.	y
With	with	iw
the	the	at
best	best	jjt
hunting	hunting	nn1
and	and	cc
f	f	zz1
shing	shing	vvg_jj@_nn1@
we	we	ppis2
've	have	vh0
ever	ever	rr
had	have	vhn
in	in	ii
this	this	dd1
country	country	nn1
,	,	y
the	the	at
quality	quality	nn1
of	of	io
the	the	at
men	man	nn2
who	who	pnqs
follow	follow	vv0
these	these	dd2
sports	sport	nn2
is	be	vbz
poorer	poor	jjr
today	today	rt
than	than	csn
it	it	pph1
has	have	vhz
ever	ever	rr
been	be	vbn
.	.	y
What	what	ddq
is	be	vbz
happening	happen	vvg
to	to	ii@
the	the	at
old	old	jj
American	american	jj
idea	idea	nn1
of	of	io
sportsmanship	sportsmanship	nn1
?	?	y
-	-	-
"	"	y
To	to	ii
Hell	hell	nn1
With	with	iw
You	you	ppy
,	,	y
"	"	y
by	by	ii
Charles	charles	np1
Elliott	elliott	np1
ACTION	action	nn1
!	!	y
AUGUST	august	npm1
1963	1963	mc
OL	ol	np1_nn1
had	have	vhd
always	always	rr
delivered	deliver	vvn
action	action	nn1
stories	story	nn2
.	.	y
By	by	ii
the	the	at
1960s	1960s	mc2
,	,	y
camera	camera	nn1
and	and	cc
film	film	nn1
technology	technology	nn1
had	have	vhd
finally	finally	rr
developed	develop	vvn
to	to	ii
the	the	at
point	point	nn1
where	where	rrq
it	it	pph1
could	could	vm
deliver	deliver	vvi
the	the	at
graphic	graphic	jj
end	end	nn1
of	of	io
that	that	dd1
timehonored	timehonored	vvd_jj@
OUTDOOR	outdoor	jj
LIFE	life	nn1
formula	formula	nn1
.	.	y
The	the	at
thrashing	thrashing	nn1@_vvg
pen-and-ink	pen-and-ink	nn1_jj
fish	fish	nn
that	that	cst
had	have	vhd
graced	grace	vvn
so	so	rg
many	many	da2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
for	for	if
such	such	da
shots	shot	nn2
was	be	vbdz
huge	huge	jj
.	.	y
One	one	mc1
enterprising	enterprising	jj
photographer	photographer	nn1
from	from	ii
Michigan	michigan	np1
devised	devise	vvd
a	a	at1
shoulder-mounted	shoulder-mounted	jj_nn1
camera	camera	nn1
that	that	cst
started	start	vvd
clicking	click	vvg
away	away	rl
when	when	cs
he	he	pphs1
hit	hit	vvd
a	a	at1
button	button	nn1
on	on	ii
the	the	at
forearm	forearm	nn1
of	of	io
his	his	appge
shotgun	shotgun	nn1
.	.	y
And	and	cc
it	it	pph1
paid	pay	vvd
off	off	rp
.	.	y
OL	ol	np1
bought	buy	vvd
a	a	at1
series	series	nn
of	of	io
stories	story	nn2
from	from	ii
Henry	henry	np1
Zeman	zeman	np1_nn1
that	that	cst_dd1
showcased	showcase	vvd
his	his	appge
unique	unique	jj
down-the-barrel	down-the-barrel	jj_nn1
shots	shot	nn2
of	of	io
flushing	flush	vvg
grouse	grouse	nn
and	and	cc
rabbits	rabbit	nn2
.	.	y
AFTER	after	cs_ii
DALLAS	dallas	np1
APRIL	april	npm1
1964	1964	mc
In	in	ii
the	the	at
immediate	immediate	jj
aftermath	aftermath	nn1
of	of	io
President	president	nnb
John	john	np1
F.	f	np1
Kennedy	kennedy	np1
's	's	ge
assassination	assassination	nn1
on	on	ii
November	november	npm1
22	22	mc
,	,	y
1963	1963	mc
,	,	y
a	a	at1
flood	flood	nn1
of	of	io
stringent	stringent	jj
gun-control	gun-control	jj_nn1
bills	bill	nn2
were	be	vbdr
introduced	introduce	vvn
in	in	ii
Congress	congress	nn1
,	,	y
prompting	prompt	vvg
OUTDooR	outdoor	jj
LIFE	life	nn1
to	to	to
counter	counter	vvi
with	with	iw
a	a	at1
forcefully	forcefully	rr
worded	worded	jj@_vvd
statement	statement	nn1
,	,	y
which	which	ddq
read	read	vv0_vvd
in	in	rr21
part	part	rr22
:	:	y
Outdoor	outdoor	jj
Life	life	nn1
is	be	vbz
convinced	convinced	jj_vvn@
:	:	y
That	that	cst_dd1
any	any	dd
firearms-registration	firearms-registration	jj_nn1
law	law	nn1
,	,	y
federal	federal	jj
,	,	y
state	state	nn1_vv0
or	or	cc
municipal	municipal	jj
,	,	y
is	be	vbz
bound	bind	vvnk
to	to	to
be	be	vbi
a	a	at1
futile	futile	jj
,	,	y
useless	useless	jj
and	and	cc
costly	costly	jj
nuisance	nuisance	nn1
.	.	y
That	that	cst
the	the	at
only	only	jj
effective	effective	jj
way	way	nn1
to	to	to
minimize	minimize	vvi
the	the	at
misuse	misuse	nn1
of	of	io
firearms	firearm	nn2
by	by	ii
criminals	criminal	nn2
is	be	vbz
to	to	to
enact	enact	vvi
laws	law	nn2
which	which	ddq
provide	provide	vv0
mandatory	mandatory	jj
severe	severe	jj
added	added	jj
punishment	punishment	nn1
for	for	if
the	the	at
commission	commission	nn1
of	of	io
a	a	at1
violent	violent	jj
crime	crime	nn1
while	while	cs
armed	arm	vvn
with	with	iw
a	a	at1
dangerous	dangerous	jj
weapon	weapon	nn1
.	.	y
-	-	-
"	"	y
What	what	ddq
's	be	vbz
On	on	ii
Your	your	appge
Mind	mind	nn1
?	?	y
"	"	y
by	by	ii
the	the	at
editors	editor	nn2
BUCKETMOUTH	bucketmouth	np1_nn1
'S	's	ge
ASCENT	ascent	nn1
JUNE	june	npm1
1964	1964	mc
Three	three	mc
years	year	nnt2
before	before	ii_cs
Ray	ray	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
fishing	fishing	nn1
editor	editor	nn1
,	,	y
Wynn	wynn	np1
Davis	davis	np1
,	,	y
proclaimed	proclaim	vvn_vvd@
the	the	at
black	black	jj
bass	bass	nn1_jj
America	america	np1
's	's	ge
greatest	greatest	jjt
gamefish	gamefish	nn1
,	,	y
based	base	vvn
on	on	ii
its	its	z'
top-notch	top-notch	jj_nn1
performance	performance	nn1
in	in	ii
seven	seven	mc
categories	category	nn2
:	:	y
1	1	mc1
)	)	y
Fighting	fight	vvg_nn1
power	power	nn1
.	.	y
2	2	mc
)	)	y
Tenacity	tenacity	nn1
.	.	y
3	3	mc
)	)	y
Intelligence	intelligence	nn1
.	.	y
4	4	mc
)	)	y
Number	number	nn1
of	of	io
reasons	reason	nn2
for	for	if
taking	take	vvg
lures	lure	nn2
and	and	cc
live	live	jj_vv0
bait	bait	nn1
.	.	y
5	5	mc
)	)	y
Inclination	inclination	nn1
to	to	to
rise	rise	vvi
to	to	ii
surface	surface	nn1
lure	lure	nn1
.	.	y
6	6	mc
)	)	y
Distribution	distribution	nn1
and	and	cc
availability	availability	nn1
.	.	y
7	7	mc
)	)	y
Capacity	capacity	nn1
to	to	to
maintain	maintain	vvi
a	a	at1
high	high	jj
population	population	nn1
in	in	ii
the	the	at
face	face	nn1
of	of	io
fishing	fishing	nn1
pressure	pressure	nn1
and	and	cc
pollution	pollution	nn1
.	.	y
Photograph	photograph	vv0@_nn1
Marine	marine	jj
manufacturers	manufacturer	nn2
have	have	vh0
always	always	rr
justified	justify	vvn
the	the	at
use	use	nn1
of	of	io
bathing-suited	bathing-suited	jj_nn1
beauties	beauty	nn2
in	in	ii
advertising	advertising	nn1
.	.	y
But	but	ccb
sometimes	sometimes	rt
the	the	at
practice	practice	nn1
bordered	border	vvn
on	on	ii
the	the	at
absurd	absurd	jj
.	.	y
//	//	x
Trout	trout	nn
fishermen	fisherman	nn2
might	might	vm
have	have	vhi
protested	protest	vvn
,	,	y
but	but	ccb
the	the	at
masses	mass	nn2
had	have	vhd
voted	vote	vvn
with	with	iw
their	their	appge
wallets	wallet	nn2
:	:	y
By	by	ii
1964	1964	mc
more	more	dar
lures	lure	nn2
were	be	vbdr
being	be	vbg
manufactured	manufacture	vvn
for	for	if
bass	bass	jj_nn1
fishing	fishing	nn1
than	than	csn
for	for	if
all	all	db
other	other	jj
types	type	nn2
of	of	io
fishing	fishing	nn1
combined	combine	vvd_vvn
.	.	y
GREETINGS	greeting	nn2
,	,	y
FROM	from	ii
DA	da	nn1_fu
NANG	nang	vv0_nn1_np1
SEPTEMBER	september	npm1
1965	1965	mc
With	with	iw
the	the	at
"	"	y
police	police	nn2
action	action	nn1_vv0%
"	"	y
in	in	ii
Vietnam	vietnam	np1
escalating	escalating	jj_vvg@
in	in	ii
violence	violence	nn1
and	and	cc
ambiguity	ambiguity	nn1
,	,	y
it	it	pph1
became	become	vvd
disturbingly	disturbingly	rr
apparent	apparent	jj
that	that	cst
this	this	dd1
would	would	vm
not	not	xx
be	be	vbi
a	a	at1
"	"	y
good	good	jj
"	"	y
war	war	nn1
.	.	y
Nevertheless	nevertheless	rr
,	,	y
as	as	csa
it	it	pph1
had	have	vhd
in	in	ii
previous	previous	jj
conflicts	conflict	nn2
,	,	y
OUTDOOR	outdoor	jj
LIFE	life	nn1
stood	stand	vvd
shoulder-to-shoulder	shoulder-to-shoulder	jj_nn1
with	with	iw
our	our	appge
boys	boy	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	ii
Outdoor	outdoor	jj
Life	life	nn1
for	for	if
the	the	at
wonderful	wonderful	jj
gift	gift	nn1
of	of	io
12	12	mc
issues	issue	nn2_vvz@
that	that	cst_dd1
was	be	vbdz
sent	send	vvn
to	to	ii
me	me	ppio1
here	here	rl
in	in	ii
Viet	viet	np1
Nam	nam	np1
.	.	y
I	i	ppis1
am	be	vbm
confined	confine	vvn
to	to	ii
my	my	appge
bed	bed	nn1
on	on	ii
off-duty	off-duty	jj
hours	hour	nnt2
,	,	y
trying	try	vvg
to	to	to
recover	recover	vvi
from	from	ii
an	a	at1
ailment	ailment	nn1
,	,	y
so	so	cs@_rr
the	the	at
magazines	magazine	nn2
could	could	vm
n't	n't	xx
have	have	vhi
arrived	arrive	vvn
at	at	ii
a	a	at1
better	better	jjr
time	time	nnt1
.	.	y
-Tom	-tom	np1
Jeffery	jeffery	np1_nn1
and	and	cc
the	the	at
23rd	23rd	md
C.A.M.R.O.N.	c.a.m.r.o.n	np1
,	,	y
Viet	viet	np1
Nam	nam	np1
-	-	-
"	"	y
What	what	ddq
's	be	vbz
On	on	ii
Your	your	appge
Mind	mind	nn1
?	?	y
"	"	y
O'CONNOR	o'connor	np1
'S	's	ge
CRYSTAL	crystal	nn1
BALL	ball	nn1
DECEMBER	december	npm1
1965	1965	mc
As	as	ii
part	part	nn1
of	of	io
a	a	at1
firearms	firearm	nn2
retrospective	retrospective	jj
,	,	y
O'Connor	o'connor	np1
hazarded	hazard	vvd
a	a	at1
few	few	da2
predictions	prediction	nn2
for	for	if
the	the	at
future	future	nn1_jj
,	,	y
proving	prove	vvg
that	that	dd1_cst
prognostication	prognostication	nn1
,	,	y
even	even	rr
for	for	if
an	a	at1
authority	authority	nn1
like	like	ii
Jack	jack	np1
,	,	y
is	be	vbz
chancy	chancy	jj
business	business	nn1
.	.	y
Look	look	vv0
for	for	if
the	the	at
automatic	automatic	jj
shotgun	shotgun	nn1
to	to	to
kill	kill	vvi
off	off	rp
the	the	at
pump	pump	nn1
...	...	...
I	i	ppis1
think	think	vv0
the	the	at
use	use	nn1
of	of	io
the	the	at
telescopic	telescopic	jj
sight	sight	nn1
will	will	vm
almost	almost	rr
be	be	vbi
universal	universal	jj
in	in	ii
another	another	dd1
20	20	mc
years	year	nnt2
,	,	y
but	but	ccb
that	that	dd1
variable-power	variable-power	jj_nn1
scopes	scope	nn2
will	will	vm
be	be	vbi
less	less	rgr
popular	popular	jj
...	...	...
The	the	at
popularity	popularity	nn1
of	of	io
the	the	at
12-gauge	12-gauge	nn1
will	will	vm
continue	continue	vvi
to	to	to
decline	decline	vvi
slowly	slowly	rr
and	and	cc
the	the	at
20	20	mc
will	will	vm
gain	gain	vvi
.	.	y
-	-	-
"	"	y
The	the	at
Big	big	jj
Change	change	nn1
in	in	ii
Guns	gun	nn2
,	,	y
"	"	y
by	by	ii
Jack	jack	np1
O'Connor	o'connor	np1
STU	stu	np1
APTE	apte	np1
MAKES	make	vvz
A	a	at1@
NAME	name	nn1
